,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 5,Vegan Friendly,Wine Body,Langtons Classified
17,11.6,Taylors,Screw Cap,Australia,2013,St Andrews Riesling 2013,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"Awards: China Wine & Spirits Awards Bronze 
 International Wine & Spirit Competition Bronze 
 New Zealand International Wine Show Bronze 
 Rutherglen Wine Show Bronze 
 Canberra International Riesling Challenge Bronze 
 Royal Adelaide Wine Show Bronze 
 Cathay Pacific Hong Kong International Wine & Spirit Comp Bronze 
 National Wine Show of Australia Bronze 
 International Wine Challenge Tranche 1 Bronze 
 Decanter World Wine Awards Bronze 
 Riverside International Wine Competition Bronze 
 Indy International Wine Competition Bronze 
 Clare Valley Regional Wine Show Bronze 
 Royal Melbourne Wine Awards Bronze 
 The Global Riesling Masters Bronze 
 Decanter Asia Wine Awards Commended 
 China Wine & Spirits Awards Double Gold 
 Royal Melbourne Wine Awards Gold 
 Royal Hobart Wine Show Gold 
 Catavinum World Wine & Spirit Competition Gold 
 Sydney Royal Wine Show Gold 
 Los Angeles International Wine & Spirit Competition Gold 
 Global Riesling Masters Gold 
 The Global Riesling Masters Gold 
 Perth Royal Wine Show Silver 
 Sommelier Challenge International Wine Competition Silver 
 Clare Valley Regional Wine Show Silver 
 San Francisco International Wine Competition Silver 
 New York International Wine Competition Silver 
 Long Beach Grand Cru International Wine Competition Silver 
 International Aromatic Wine Competition Silver 
 The Global Riesling Masters Silver 
 Sydney Royal Wine Show Silver 
 The Asian Riesling Masters Silver 
 Asia Wine Trophy Silver",,Clare Valley,750mL,7.1,South Australia,Riesling,,,,,
18,12%,T'Gallant,Screw Cap,Australia,2018*,Juliet Pinot Grigio,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Eastern Australia,750mL,7.1,Victoria,Pinot Grigio,Dry,,,,
19,5.5%,Brown Brothers,Screw Cap,Australia,2017*,Moscato,$10.40 in any six,$62.40 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.2,Victoria,Moscato,Semi Sweet,,,,
20,11.0%,Sorby Adams,Screw Cap,Australia,2018*,Jellicoe Riesling 2018,$34.99 per bottle,$199.80 per case of 6,$33.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,750mL,6.5,South Australia,Riesling,Dry,,,,
21,13.5%,Stonier,Screw Cap,Australia,2017*,Chardonnay,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 19 Chardonnay from Mornington Peninsula,Mornington Peninsula,750mL,8.0,Victoria,Chardonnay,Dry,,,,
22,13.5%,The Remarkable State,,Australia,2017,Proclamation Adelaide Hills Chardonnay 2017,Delivery Offer$12.90 per bottle,$28.50 per bottle in case,$171.00 per case of 6,$29.99 per bottle,,Adelaide Hills,750mL,8,South Australia,Chardonnay,,,,,
23,12.5%,Yalumba,Screw Cap,Australia,2018*,Y Series Pinot Grigio,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 27 Pinot Grigio from Australia,,750mL,7.4,South Australia,Pinot Grigio,Dry,,true,,
24,12.5%,Rockcliffe,Screw Cap,Australia,2017,Third Reef Riesling 2017,$26.60 in any six,$319.20 per case of 12,$29.99 per bottle,,,,750mL,7.4,Western Australia,Riesling,,,,,
25,12.50%,Yallingup Estate,,Australia,2017,Semillon Sauvignon Blanc 2017,Delivery Offer$8.90 per bottle,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,,Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,,,,,
26,13%,Claymore,,Australia,2017,Superstition Reserve Riesling 2017,$30.40 in any six,$364.80 per case of 12,$24.99 per bottle,Ranked 22 of 70 Riesling from Clare Valley,,Clare Valley,750mL,7.7,South Australia,Riesling,,,,,
27,12.2%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Sauvignon Blanc,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.2,,Sauvignon Blanc,Dry,,,,
28,12.5%,Kilikanoon,Screw Cap,Australia,2016,Baudinet Riesling 2016,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.4,South Australia,Riesling,,,,,
29,12.5%,Jim Barry,Screw Cap,Australia,2017*,Jim's Garden Riesling,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.4,South Australia,Riesling,,,,,
30,12.9%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Chardonnay,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.6,South Australia,Chardonnay,Dry,,,,
31,12.5%,Evans & Tate,Screw Cap,Australia,2017*,Classic Margaret River Sem Sauv Blanc,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
32,8.5%,Lindeman's,Screw Cap,Australia,2017*,Early Harvest Semillon Sauvignon Blanc,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.0,,Semillon Sauvignon Blanc,Dry,,,,
33,12.5%,Fifth Leg,Screw Cap,Australia,2018*,Semillon Sauvignon Blanc,$12.90 in any six,$77.40 per case of 6,$13.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
34,12.5%,Houghton,Screw Cap,Australia,2018*,White Classic,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Swan Valley,750mL,7.4,Western Australia,White Blend,Dry,,,,
35,12%,Tim Adams,Screw Cap,Australia,2018*,Pinot Gris,$19.00 in any six,$112.80 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 15 Pinot Gris from South Australia,Clare Valley,750mL,7.1,South Australia,Pinot Gris,Dry,,,,
36,13.8%,Tar & Roses,Screw Cap,Australia,2018*,Pinot Grigio,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Goulburn Valley,750mL,8.2,Victoria,Pinot Grigio,Dry,,,,
37,12.5%,Cow Bombie,Screw Cap,Australia,2018*,Semillon Sauvignon Blanc,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,Awards: Gold Medal  -  Melbourne International Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
38,13%,Wolf Blass,Screw Cap,Australia,2017*,Red Label Chardonnay,$6.95 in any six,$35.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,7.7,South Australia,Chardonnay,Dry,,,,
39,13.0%,Marley Farm,Screw Cap,Australia,,Adelaide Hills Pinot Gris 2018,$19.99 per bottle,$119.94 per case of 6,Awards: Gold Medal Sydney International Wine Competition 2019 (SIWC),,,Adelaide Hills,750mL,7.4,South Australia,Pinot Gris,Semi Dry,,,Medium Bodied,
40,12%,Vasse Felix,Screw Cap,Australia,2017*,Classic Dry White Semillon Sauvignon Blanc,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.1,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
41,13.5%,Taylors,Screw Cap,Australia,2017*,Estate Chardonnay,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"Awards: 2 Gold Medals - China Wine & Spirits Awards 2015, Winemakers Challenge International Wine Competition 2015.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.0,South Australia,Chardonnay,Dry,,,,
42,13.0% (2016),Yellow Tail,Screw Cap,Australia,2016*,Chardonnay,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2016),New South Wales,Chardonnay,Dry,,,,
43,12%,Hardys,Screw Cap,Australia,2018*,Stamp of Australia Sauvignon Blanc 1L,$5.90 in any six,$35.40 per case of 6,$6.20 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,1L,9.5,South Australia,Sauvignon Blanc,Dry,,,,
44,12.5%,Jacob's Creek,Screw Cap,Australia,2017*,Reserve Chardonnay,$11.95 in any six,$71.70 per case of 6,$11.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.4,South Australia,Chardonnay,Dry,,,,
45,13.5%,Taylors,Screw Cap,Australia,2017*,Estate Chardonnay,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"Awards: 2 Gold Medals - China Wine & Spirits Awards 2015, Winemakers Challenge International Wine Competition 2015.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.0,South Australia,Chardonnay,Dry,,,,
46,11.9%,Secret Selection,Screw Cap,Australia,2017,Margaret River Semillon Sauvignon 2017,Online Offer$7.90 per bottle,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,,Margaret River,750mL,7.2,Western Australia,Semillion Sauvignon,,,,,
47,13%,Wolf Blass,Screw Cap,Australia,2018*,Eaglehawk Chardonnay,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,South Australia,Chardonnay,Dry,,,,
48,12.5%,Devil's Corner,Screw Cap,Australia,2018*,Pinot Grigio,$12.90 in any six,$77.40 per case of 6,$13.60 per bottle,Awards: Gold - Class 13 2017 Adelaide Wine Show Region: East Coast Tasmania,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",East Coast Tasmania,750mL,7.4,Tasmania,Pinot Grigio,,Ranked 3 of 27 Pinot Grigio from Australia,,,
49,13%,Annie's Lane,Screw Cap,Australia,2017*,Chardonnay,$11.95 in any six,$59.70 per case of 6,$11.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.7,South Australia,Chardonnay,Dry,,,,
50,13.5%,Secret Selection,Screw Cap,Australia,2017,Single Vineyard Margaret River Chardonnay 2017,Online Offer$18.90 per bottle,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,,,,
51,11.5%,Annie's Lane,Screw Cap,Australia,2018*,Riesling,$11.95 in any six,$59.70 per case of 6,$11.95 per bottle,Awards: Hobart Wine Show Trophy - Best Riesling 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.8,South Australia,Riesling,Dry,,,,
52,13.5%,Evans & Tate,Screw Cap,Australia,2017*,Expressions Butterball Chardonnay,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,Awards: 2016 Halliday Top 100 - Top 20 Whites under $20,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,,,,
53,5%,Gossips,Screw Cap,Australia,2017*,Sweet Lips Moscato,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.0,,Moscato,Semi Sweet,,,,
54,12%,Lindeman's,Screw Cap,Australia,2017*,Bin 95 Sauvignon Blanc,$6.60 in any six,$39.60 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 68 of 146 Sauvignon Blanc from Australia,,750mL,7.1,,Sauvignon Blanc,Dry,,,,
55,8.5%,Lindeman's,Screw Cap,Australia,2018*,Early Harvest Crisp Dry White,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.0,,White Blend,Dry,,,,
56,13%,McWilliam's,Screw Cap,Australia,2015*,Stuart McWilliam Chardonnay,Member Offer$7.90 per bottle,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Tumbarumba,750mL,7.7,New South Wales,Chardonnay,Dry,,,,
57,12.5%,Pewsey Vale,Screw Cap,Australia,2017*,Eden Valley Riesling,$16.90 in any six,$101.40 per case of 6,$17.80 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 27 Riesling from Eden Valley,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,
58,13%,Cleanskin,Screw Cap,Australia,2018,GR19 Adelaide Hills Chardonnay,$8.55 in any six,$51.30 per case of 6.,$8.99 per bottle,,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,,,,,
59,12.5%,Devil's Lair,Screw Cap,Australia,2017*,The Hidden Cave Chardonnay,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 37 of 61 Chardonnay from Margaret River,Margaret River,750mL,7.4,Western Australia,Chardonnay,Dry,,,,
60,13.0%,Hardys,Screw Cap,Australia,2016*,Stamp of Australia Chardonnay 1L,$5.90 in any six,$35.40 per case of 6,$6.20 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,1L,10,,Chardonnay,Dry,,,,
61,12%,McWilliams,Screw Cap,Australia,2018*,On The Grapevine Pinot Grigio,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,New South Wales,Pinot Grigio,Dry,,,,
62,12%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Pinot Grigio,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,Awards: Trophy - National Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,South Australia,Pinot Grigio,Dry,,,,
63,11.5%,McGuigan,Screw Cap,Australia,2017*,Black Label Sauvignon Blanc,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.8,,Sauvignon Blanc,Dry,,,,
64,12%,Forester Estate,Screw Cap,Australia,2017*,Lifestyle Semillon Sauvignon Blanc,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"Awards: Blue Gold and Top 100 – Sydney International Wine Competition 2018
1 Gold -  Forester Estate Forester Estate Semillon Sauvignon Blanc 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.1,Western Australia,Semillon Sauvignon Blanc,Dry,,,,
65,13%,Brown Brothers,Screw Cap,Australia,2017*,18 Eighty Nine Pinot Grigio,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,7.7,Victoria,Pinot Grigio,Dry,,,,
66,12%,Secret Selection,Screw Cap,Australia,,Clare Valley Riesling 2017,Delivery Offer$9.90 per bottle,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,,Clare Valley,750mL,7.2,South Australia,Riesling,Dry,,,,
67,11.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,Premium Semillon Sauvignon Blanc Cask 4L,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,36.0,,Semillon Sauvignon Blanc,Dry,,,,
68,12.7,Molly's Cradle,Screw Cap,Australia,2018,Sauvignon Blanc 2018,Delivery Offer$59.00 per case of 6,$18.00 per bottle,$101.95 per case of 6,Dry White,Ranked 21 of 73 Sauvignon Blanc from Australia,Orange,750mL,7.5,New South Wales,Sauvignon Blanc,Sauvignon Blanc,,,,
69,13%,Brown Brothers,Screw Cap,Australia,2017*,18 Eighty Nine Pinot Grigio,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,7.7,Victoria,Pinot Grigio,Dry,,,,
70,13.0% (2016),MadFish,Screw Cap,Australia,2016*,Gold Turtle Chardonnay,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 44 of 84 Chardonnay from Margaret River,Margaret River,750mL,7.7 (2016),Western Australia,Chardonnay,Dry,,,,
71,12.5% (2017),Evans & Tate,Screw Cap,Australia,2017*,Classic Margaret River Sauvignon Blanc,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4 (2017),Western Australia,Sauvignon Blanc,Dry,,,,
72,13.5%,Coldstream Hills,Screw Cap,Australia,2017*,Chardonnay,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.0,Victoria,Chardonnay,Dry,,,,
73,13.5% (2017),Innocent Bystander,Screw Cap,Australia,2017*,Pinot Gris,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 28 of 29 Pinot Gris from Victoria,King Valley and Yarra Valley,750mL,8 (2017),Victoria,Pinot Gris,Dry,,,,
74,7.5%,T'Gallant,Screw Cap,Australia,2017*,Juliet Moscato,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,4.4,Victoria,Moscato,Semi Sweet,,,,
75,12.5,Pete's Pure,Screw Cap,Australia,2018,Sauvignon Blanc 2018,$14.99 per bottle,$179.88 per case of 12,,,,Pemberton,750,7.4,Western Australia,Sauvignon Blanc,Semi Dry,,true,Light Bodied,
76,11%,Gossips,Screw Cap,Australia,2018*,Sauvignon Blanc,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.5,,Sauvignon Blanc,Dry,,,,
77,11.5%,Wolf Blass,Screw Cap,Australia,2018*,Eaglehawk Sauvignon Blanc,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.8,,Sauvignon Blanc,Dry,,,,
78,12.5% (2016),Cleanskin,Screw Cap,Australia,2016*,WE2 Chardonnay,$3.75 in any six,$45.00 per case of 12,$3.94 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4 (2016),,Chardonnay,Dry,,,,
79,12.5%,Evans & Tate,Screw Cap,Australia,2017*,Broadway Chardonnay,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Chardonnay,Dry,,,,
80,12.5%,Vasse Felix,Screw Cap,Australia,2017*,Filius Chardonnay,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 61 Chardonnay from Margaret River,Margaret River,750mL,7.4,Western Australia,Chardonnay,Dry,,,,
81,13.5%,Cow Bombie,Screw Cap,Australia,2018*,Chardonnay,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,,,,
82,12.5%,Secret Selection,Screw Cap,Australia,2011,Tasmania Riesling 2011,Delivery Offer$28.90 per bottle,$45.60 in any six,$273.60 per case of 6,$47.99 per bottle,,,700mL,7.4,Tasmania,Riesling,,,,,
83,13.5%,Leeuwin Estate,Screw Cap,Australia,2016*,Prelude Chardonnay,$30.39 in any six,$364.68 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 68 of 84 Chardonnay from Margaret River,Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,,,,
