,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Organic,Langtons Classified,Vegan Friendly
10,13.5%,De Bortoli,Screw Cap,Australia,2017*,Estate Grown Yarra Valley Pinot Noir,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Awards: 2 Gold Medals - International Wine Competition 2016 and Brisbane Wine Show 2016.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
11,14,Parker Coonawarra Estate,Screw Cap,Australia,2017,Coonawarra Series Cabernet Sauvignon,$22.99 per bottle,$131.40 per case of 6,$21.90 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
12,12.8%,De Bortoli,,Australia,2018,Rose Rose,Member Offer$12.00 per bottle,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"Awards: Trophy - 2018 Australian Italian Varieties Wine Awards, Best Rosé 2018,
Trophy - 2018 Australian Italian Varieties Wine Awards, Chief Judge's Award Most Exciting Wine,
Gold Medal - 2018 Australian Italian Varieties Wine Awards,
Gold Medal - 2018 China Wine and Spirits Awards",,750mL,7.6,,Rosé,,,,,,
13,14.00%,St Hallett,Screw Cap,Australia,,Old Block Shiraz 2008,$119.99 per bottle,Ranked 4 of 114 Shiraz from Barossa Valley,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
14,14.5%,Cleanskin,Screw Cap,Australia,2015*,No 32 McLaren Vale Cabernet Sauvignon,$7.59 in any six,$45.54 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
15,14%,Annie's Lane,Screw Cap,Australia,2013,Cabernet Merlot 2013,$19.00 in any six,$112.80 per case of 6,$19.99 per bottle,,,Clare Valley,750mL,8.3,South Australia,Cabernet Merlot,,,,,,
16,14.50%,Penfolds,Screw Cap,Australia,,RWT Barossa Valley Shiraz 2015,$179.00 per bottle,Ranked 6 of 135 Shiraz from Barossa Valley,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,
17,14%,Taylors,Screw Cap,Australia,2016*,Discoveries Shiraz,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
18,14%,Grant Burge,Screw Cap,Australia,2012,Filsell Shiraz 2012,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"Awards: Decanter World Wine Awards, 2015: Silver 
International Wine Challenge, 2015: Bronze 
Hong Kong International Wine & Spirit Competition, 2014: Bronze",,Barossa  Valley,750mL,8.3,South Australia,Shiraz,,,,,,
19,14%,Pure Vision,Screw Cap,Australia,2017*,Organic Cabernet Sauvignon,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,true,,
20,13.5%,Devils Creek,Screw Cap,Australia,2016*,Merlot,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Alpine Valley,750mL,8.0,Victoria,Merlot,Medium Bodied,Dry,,,,
21,13.5%,St. Erth,Screw Cap,Australia,2017,Pinot Noir,Member Offer$13.00 per bottle,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,Awards: Winestate Best Value Buy Pinot Noir under $20,Geelong,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
22,14.2%,Spinifex,Screw Cap,Australia,2015*,Miette Shiraz,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
23,12.0% (2016),Mac Forbes,Screw Cap,Australia,2016*,Pinot Noir,$32.99 in any six,$399.00 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.1,Victoria,Pinot Noir,Light Bodied,Dry,,,,
24,14.5%,Sandalford,Screw Cap,Australia,2016*,Margaret River Range Cabernet Merlot,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 23 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
25,13.0% (2017),David Hook,Screw Cap,Australia,2017*,Shiraz,$17.09 in any six,$102.50 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hunter Valley,750mL,7.7 (2016),New South Wales,Shiraz,Full Bodied,Dry,,,,
26,14.0%,Mitolo,Screw Cap,Australia,2017*,The Nessus Malbec,$9.88 in any six,$59.28 per case of 6,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.3,South Australia,Malbec,,Dry,,,,
27,13.7%,Grosset,Screw Cap,Australia,2014*,Gaia Cabernet Blend,$80.80 in any six,$969.60 per case of 12,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 47 Cabernet Sauvignon from South Australia,Clare Valley,750mL,8.1,South Australia,Red Blend,,Dry,,,Excellent,
28,14.5%,Chapel Hill,Screw Cap,Australia,2017*,The Parson Cabernet Sauvignon,Member Offer$10.00 per bottle,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 11 of 25 Cabernet Sauvignon from South Australia,,,
29,14.5%,Gibson,Screw Cap,Australia,2015*,Reserve Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 59 of 135 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
30,14.5%,Longview,Screw Cap,Australia,2016,Yakka Shiraz,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"Awards: 2 Gold - 2013 Hong Kong International Wine & Spirit Competition, 2013 AWC Vienna International Wine Challenge. 5 Silver - 2013 Decanter Asia Wine Awards, 2013 China Wine & Spirit Awards, 2013 San Fransisco International Wine Competition, 2013 Internationa","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 7 of 34 Shiraz from Adelaide Hills,,,
31,14.6%,Tar & Roses,Screw Cap,Australia,2017,Tempranillo,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,Awards: Gold Medal - Heathcote Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.7,Victoria,Tempranillo,Full Bodied,Dry,Ranked 7 of 39 Tempranillo from Australia,,,
32,14.5% (2015),Barton Steer,Screw Cap,Australia,2015*,Shiraz,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,,,,
33,14.5%,Zema Estate,Screw Cap,Australia,2013*,Shiraz,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 20 Shiraz from Coonawarra,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
34,13.5% (2015),Trentham Estate,Screw Cap,Australia,2015*,Pinot Noir,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Murray Darling,750mL,8 (2015),New South Wales,Pinot Noir,Light Bodied,Dry,,,,
35,14.0% (2014),Voyager Estate,Screw Cap,Australia,2014*,Shiraz,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.3 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,,
36,14.5% (2013),Cleanskin,Screw Cap,Australia,2013*,No 52 Clare Valley Shiraz,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,,,
37,13.5%,Leeuwin Estate,Screw Cap,Australia,2014*,Art Series Cabernet Sauvignon,$64.60 in any six,$775.20 per case of 12,$67.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 59 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,
38,14.5%,Battle of Bosworth,Screw Cap,Australia,2016*,Cabernet Sauvignon,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,true,,
39,14.0%,Leasingham,Cork,Australia,2011*,Classic Clare Shiraz,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,"Awards: 5 Gold - Royal Adelaide Wine Show 2011, Royal Hobart Wine Show 2011, National Wine Show of Australia 2011, Perth Royal Wine Show 2012, Clare Valley Wine Show 2012, 2 Trophies","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
40,14%,Cleanskin,Screw Cap,Australia,2016*,No 63 Coonawarra Cabernet Sauvignon,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
41,13.9,Label 88,Screw Cap,Australia,2016,King Valley Rose 2018,Delivery Offer$49.95 per case of 6,$14.00 per bottle,$84.00 per case of 6,,,,750mL,8.4,,Rose,Light Bodied,Dry,,,,
42,14.0% (2012),Wolf Blass,Screw Cap,Australia,2012*,Platinum Label Shiraz,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,Awards: Double Gold - San Francisco International Wine Competition 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3 (2012),South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,
43,13.5%,Hardys,Cask Closure,Australia,Non Vintage*,Reserve Merlot Cask 3L,$16.99 each,$64.80 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,3L,32.0,,Merlot,,Dry,,,,
44,14.4%,St Hallett,Screw Cap,Australia,2014*,Old Block Shiraz,$88.40 in any six,$530.40 per case of 6,$92.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 117 Shiraz from Barossa Valley,Barossa,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,
45,14.5%,Campbells,Screw Cap,Australia,2013,Bobbie Burns Shiraz 2013,$26.60 in any six,$158.40 per case of 6,$27.99 per bottle,"Awards: International Wine Challenge, 2015: Commended",,Rutherglen,750mL,8.6,Victoria,Shiraz,,,,,,
46,13.5% (2014),Leeuwin Estate,Screw Cap,Australia,2015,Art Series Shiraz,$37.10 in any six,$445.20 per case of 12,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 26 Shiraz from Margaret River,Margaret River,750mL,8.0 (2014),Western Australia,Shiraz,Full Bodied,Dry,,,,
47,14.50%,Penfolds,Cork,Australia,2004,St Henri Shiraz 2004,$199.99 per bottle,Ranked 12 of 64 Shiraz from Barossa Valley,,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,
48,14.5%,De Bortoli,Screw Cap,Australia,2016*,Deen Vat 8 Shiraz,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,
49,13.5%,De Bortoli,Screw Cap,Australia,2018*,Sacred Hill Shiraz,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,,Shiraz,Full Bodied,Dry,,,,
50,14.0% (2014),Tscharke,Screw Cap,Australia,2014*,Shiraz Shiraz Shiraz,$18.10 in any six,$107.40 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,
51,14.5%,Zema Estate,Screw Cap,Australia,2013*,Cabernet Sauvignon,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 56 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
52,14.5%,Redcastle,Screw Cap,Australia,2016*,Heathcote Shiraz,$14.99 per bottle,$84.60 per case of 6,$14.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Heathcote,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
53,13.5%,Farm to Table,Screw Cap,Australia,2017*,Farm to Table Pinot Noir,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
54,,,,,,Unknown,,,,,,,,,,,,,,,,
55,14.1%,Water Wheel,Screw Cap,Australia,2015,Shiraz,$16.20 in any six,$194.40 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Bendigo,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,
56,14%,Leasingham,Screw Cap,Australia,2016*,Bin 61 Shiraz,$14.90 per bottle,$85.20 per case of 6,$14.20 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
57,13.50%,Mount Langi Ghiran,Screw Cap,Australia,2011,Billi Billi Shiraz 2011,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Awards: Silver - The TEXSOM International Wine Awards Awarded: 2015,Ranked 18 of 48 Shiraz from Victoria,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,
58,14.5%,Penfolds,Screw Cap,Australia,2012,Bin 138 GSM 2012,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"Awards: Decanter World Wine Awards, 2014: Gold 
International Wine Challenge, 2014: Silver",,Barossa  Valley,750mL,8.6,South Australia,GSM,,,,,,
59,15.0%,Torbreck,Screw Cap,Australia,2016*,Cuvée Juveniles Grenache Shiraz Mourvèdre,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.9,South Australia,Grenache Shiraz Mourv?dre,Medium Bodied,Dry,,,,
60,10.5%,Berri Estates,Cask Closure,Australia,Non Vintage*,Rosé Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,41.0,,Red Blend,,Dry,,,,
61,14.5%,Fox Creek,Screw Cap,Australia,2015*,JSM Shiraz Cabernet Cabernet Franc,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz Cabernet Franc,Full Bodied,Dry,,,,
62,14%,Yalumba,Screw Cap,Australia,2016*,Patchwork Shiraz,$15.10 in any six,$90.60 per case of 6,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,true
63,14.5%,Kellermeister,Screw Cap,Australia,2015*,Barossa Vineyards Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
64,9.50%,Sunnyvale,Cask Closure,Australia,Non Vintage,Dolce Rosso Cask 4L,$13.99 each,$26.60 per case of 2,,,,,4L,30,Victoria,Red Blend,,Sweet,,,,
65,14%,Grant Burge,Screw Cap,Australia,2017*,Classic Collection Cabernet Sauvignon,$7.95 in any six,$47.70 per case of 6,$7.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
66,13%,Heemskerk,Screw Cap,Australia,2016*,Pinot Noir,$47.49 in any six,$284.94 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 49 of 116 Pinot Noir from Tasmania,,750mL,7.7,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
67,14.5%,Jacob's Creek,Screw Cap,Australia,2016*,Double Barrel Shiraz Cabernet,$19.95 in any six,$119.70 per case of 6,$19.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
68,13.4%,Wynns,,Australia,2016,V&A Lane Cabernet Shiraz 2016,$52.20 in any six,$313.80 per case of 6,$54.99 per bottle,,,Coonawarra,750mL,7.9,South Australia,Cabernet Shiraz,,,,,,
69,14.5%,I Am George,Screw Cap,Australia,2017*,Shiraz,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
70,14.0% (2014),Grant Burge,Cork,Australia,2014*,Balthasar Shiraz,$25.60 in any six,$153.60 per case of 6,$26.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,
71,14.5%,Henschke,Screw Cap,Australia,2015,Johann's Garden,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,Awards: Gold Medal - Barossa Valley Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Grenache Mourvèdre Shiraz,,Dry,Ranked 1 of 25 Grenache from Barossa,,,
72,14.5%,Ulithorne,Screw Cap,Australia,2017,Familia Shiraz 2017,$38.00 in any six,$456.00 per case of 12,$23.99 per bottle,Ranked 23 of 38 Shiraz from McLaren Vale,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
73,14.0%,Tatachilla,,Australia,2016*,Partners Cabernet Shiraz,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,Awards: Trophy - 'Best Wine Under $25' The Great Australian Red Showcase 2016. Gold - The Great Australian Red Showcase 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3,South Australia,Cabernet Shiraz,Full Bodied,Dry,,,,
74,13.5% (2014),Best's Great Western,Screw Cap,Australia,2016,Bin 0 Shiraz,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Awards: Trophy - Dan Murphy's National Wine Show 2012. Gold - Dan Murphy's National Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Grampians,750mL,8 (2014),Victoria,Shiraz,Full Bodied,Dry,Ranked 1 of 17 Shiraz from Western Victoria,,Excellent,
75,18.0% (Non Vintage),Sevenhill,Screw Cap,Australia,Non Vintage*,Sweet Altar Red Wine,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,,,Clare Valley,750mL,11 (Non Vintage),South Australia,,,Sweet,,,,
76,14%,Coriole,Screw Cap,Australia,2010,Lloyd Reserve Shiraz 2010,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,,McLaren Vale,750mL,8.3,South Australia,Shiraz,,,,,,
77,12%,Shingleback,Screw Cap,Australia,2018*,Red Knot Rosé,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"Awards: GOLD MEDAL: 2018 Royal Perth Wine Awards (class 19),
SILVER MEDAL: 2018 Royal Hobart Wine Show (class 18),
Gold Medal - 2017 Royal Adelaide Wine Show (class 25),   Gold Medal - 2017 Royal Melbourne Wine Awards","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,South Australia,Pinot Noir Shiraz Grenache,Light Bodied,Dry,Ranked 13 of 18 Pinot Noir from Australia,,,
78,13.5%,Lindeman's,Cork,Australia,2017*,Cawarra Shiraz Cabernet,$5.15 in any six,$30.90 per case of 6,$5.40 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
79,14.0%,Jim Barry,Screw Cap,Australia,2013,The Benbournie Cabernet Sauvignon 2013,Delivery Offer$69.90 per bottle,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Ranked 4 of 27 Cabernet Sauvignon from Mount Lofty Ranges,Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,,Dry,,,,
80,14.50%,Wirra Wirra,Screw Cap,Australia,,RSW Shiraz 2010,$79.99 per bottle,$456.00 per case of 6,$76.00 in any six,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,
81,,,,,,Unknown,,,,,,,,,,,,,,,,
