,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Vegan Friendly,Price Option 4,Organic,Langtons Classified
16,14.5% (2013),Hare's Chase,Cork,Australia,2013*,Shiraz,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,,,
17,13.8% (2011),Derwent Estate,Screw Cap,Australia,2011*,Pinot Noir,$36.10 in any six,$433.20 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Southern Tasmania,750mL,7.9 (2011),Tasmania,Pinot Noir,Light Bodied,Dry,,Ranked 55 of 93 Pinot Noir from Tasmania,,
18,13.5%,Drake,Screw Cap,Australia,2017*,Heathcote Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.0,Victoria,Shiraz,Full Bodied,Dry,,,,
19,13%,Un Bel Jour,Screw Cap,Australia,2017,Merlot,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,,,750mL,7.7,,Merlot,,,,,,
20,14.5%,Audrey Wilkinson,Screw Cap,Australia,2017*,Merlot,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Merlot,Medium Bodied,Dry,,,,
21,14.5% (2010),Bleasdale,Screw Cap,Australia,2010*,Generations Shiraz,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.5 (2010),South Australia,Shiraz,Full Bodied,Dry,,Ranked 6 of 25 Shiraz from Langhorne Creek,,
22,13.50%,Mount Langi Ghiran,Screw Cap,Australia,,Cliff Edge Shiraz 2011,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,Ranked 19 of 48 Shiraz from Victoria,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,
23,13%,Fowles Wine,Screw Cap,Australia,2014*,Are You Game? Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Awards: Blue Gold - Sydney International Wine Show 2015. Trophy - National Wine Show Of Australia 2013. Gold - National Wine Show of Australia 2013,,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
24,12.5% (2016),Soumah,Screw Cap,Australia,2016*,Hexham Single Vineyard Pinot Noir,$32.30 in any six,$387.60 per case of 12,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2016),Victoria,Pinot Noir,Light Bodied,Dry,,,,
25,14.30%,Schwarz Wine Co,Screw Cap,Australia,2016,META Shiraz 2016,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,Ranked 81 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,,
26,14.5%,Véronique,Screw Cap,Australia,2016*,Old Vine Grenache Mataró Shiraz,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Grenache Mourvèdre Shiraz,,Dry,,,,
27,14.5%,Fox Creek,Screw Cap,Australia,2016*,Short Row Shiraz,$30.39 in any six,$364.68 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
28,14.5%,Parker Coonawarra Estate,Screw Cap,Australia,2016*,Terra Rossa Merlot,$29.95 per bottle,$179.70 per case of 6,$29.95 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Merlot,Medium Bodied,Dry,,Ranked 7 of 17 Merlot from South Australia,,
29,12.9,Old Jarvie,Screw Cap,Australia,2017,The Charitable Nero d'Avola/ Aglianico Rose 2017,$29.99 per bottle,$173.94 per case of 6,,,McLaren Vale,750mL,7.6,,Red Blends,Light Bodied,Dry,,,,
30,14%,Frankland Estate,Screw Cap,Australia,2015*,Shiraz,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Frankland River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,Ranked 21 of 53 Shiraz from Western Australia,,
31,14.5%,Oliver's Taranga Vineyards,Screw Cap,Australia,2016*,Grenache,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,,Ranked 38 of 39 Grenache from McLaren Vale,,
32,14.5%,Penley Estate,Screw Cap,Australia,2012*,Phoenix Cabernet Sauvignon 2012,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,"Awards: Hong Kong International Wine & Spirit Competition, 2014: Silver 
International Wine & Spirit Competition, 2014: Silver 
International Wine Challenge, 2014: Silver 
The TEXSOM International Wine Awards, 2014: Bronze",Coonawarra,750mL,8.6,South Australia,Caberent Sauvignon,,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
33,14.0%,d'Arenberg,Screw Cap,Australia,2015*,Feral Fox Pinot Noir,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.3,South Australia,Pinot Noir,Light Bodied,Dry,,,,
34,13.5%,Picardy,Cork,Australia,2013*,Merlot Cabernet Cabernet Franc,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,750mL,8.0,Western Australia,Merlot Cabernet Cabernet Franc,Medium Bodied,Dry,,,,
35,15%,Riddoch,Screw Cap,Australia,2016*,Reserve Coonawarra Shiraz,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"Awards: Gold - China Wine & Spirits Awards 2018, Gold Medal - Japan Wine Challenge 2018, Gold - Hong Kong IWSC 2018",Coonawarra,750mL,8.9,South Australia,Shiraz,,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
36,14.5,Vinos For Chinos,Screw Cap,Australia,2018*,Grenache,$14.25 in any six,$84.55 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,,,,
37,14.0% (2013),Clairault,Screw Cap,Australia,2013*,Cabernet Sauvignon,$25.65 in any six,$307.80 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2013),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
38,14.5%,Fancy,,Australia,2016,Barossa Valley GSM,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,"Grenache, Shiraz, Mourverdre",,,,,,
39,13.0% (2012),Warramate,Screw Cap,Australia,2012*,Shiraz,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Yarra Valley,750mL,7.7 (2012),Victoria,Shiraz,Full Bodied,Dry,,,,
40,14.5%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2017*,Basket Pressed Grenache,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,,,,
41,14.5% (2014),Amelia Park,Screw Cap,Australia,2014*,Shiraz,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,8.6 (2014),Western Australia,Shiraz,Full Bodied,Dry,,Ranked 4 of 15 Shiraz from Frankland River,,
42,13.8% (2014),All Saints,Cork,Australia,2014*,Shiraz,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,8.1 (2014),Victoria,Shiraz,Full Bodied,Dry,,,,
43,13.0%,Tscharke,Screw Cap,Australia,2016*,The Master Montepulciano,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.7,South Australia,Montepulciano,,Dry,,,,
44,,,,,,Unknown,,,,,,,,,,,,,,,
45,14.7% (2013),Quattro Mano,Screw Cap,Australia,2013*,La Reto Tempranillo,$24.69 in any six,$148.14 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.7 (2013),South Australia,Tempranillo,Full Bodied,Dry,,Ranked 3 of 22 Tempranillo from South Australia,,
46,14.5%,Gapsted,Screw Cap,Australia,2016*,Ballerina Canopy Cabernet Sauvignon,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,
47,7,Amberley,Screw Cap,Australia,2016,Kiss & Tell Moscato Rosa,$11.39 in any six,$68.34 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,4.1,Western Australia,Moscato,Light Bodied,Semi Sweet,,,,
48,14%,Ferngrove,Screw Cap,Australia,2016*,Frankland Shiraz,$11.30 in any six,$135.60 per case of 6,$11.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,
49,13.50%,Barwang,Screw Cap,Australia,,Cabernet Sauvignon 2011,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,,Hilltops,750mL,8,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,
50,14.00%,Hardys,Screw Cap,Australia,,Oomoo Shiraz 2011,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,Awards: Gold - Dan Murphy's National Wine Show of Australia 2012,McLaren Vale,750mL,8.3,South Australia,Shiraz,,Dry,,,,
51,14%,Longview,Screw Cap,Australia,2015*,Shiraz Cabernet,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.3,South Australia,"Shiraz, Cabernet Sauvignon",Full Bodied,Dry,,Ranked 50 of 52 Shiraz from South Australia,,
52,14.0%,De Bortoli,Screw Cap,Australia,2015*,Windy Peak Cabernet Merlot,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,Victoria,Cabernet Merlot,Medium Bodied,Dry,true,,,
53,13.0% (2011),Racers & Rascals,Screw Cap,Australia,2011*,Pinot Noir,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2011),Victoria,Pinot Noir,Light Bodied,Dry,,,,
54,13.0% (2011),Racers & Rascals,Screw Cap,Australia,2011*,Pinot Noir,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2011),Victoria,Pinot Noir,Light Bodied,Dry,,,,
55,14.5%,Shottesbrooke,Screw Cap,Australia,2016*,Cabernet Sauvignon,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Awards: Gold Medal - Sydney International Wine Competition 2015,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
56,14.5% (2016),Penley Estate,Screw Cap,Australia,2016*,Atlas Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,Awards: Gold Medal - China Wine & Spirits Awards Best Value 2018,Coonawarra,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
57,14.0% (2015),Juniper Crossings,Screw Cap,Australia,2015*,Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3 (2015),Western Australia,Shiraz,Full Bodied,Dry,,Ranked 13 of 26 Shiraz from Margaret River,,
58,9.9%,Happs Estate,Screw Cap,Australia,,Fuchsia - Sweet Rose,$18.00 per bottle,$174.96 per case of 12,,,Margaret River,750mL,5.9,Western Australia,Blend,Light Bodied,Sweet,,,,
59,14.0% (2014),Omrah,Screw Cap,Australia,2014*,Shiraz,$15.99 per bottle,$91.14 per case of 6,$15.19 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,8.6 (2014),Western Australia,Shiraz,Full Bodied,Dry,,,,
60,13.0% (2010),Racers And Rascals,Screw Cap,Australia,2010*,Shiraz,$15.19 in any six,$182.28 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2010),Victoria,Shiraz,Full Bodied,Dry,,,,
61,14.5% (2014),Watershed,Screw Cap,Australia,2014*,Shades Merlot,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6 (2014),Western Australia,Merlot,Medium Bodied,Dry,,,,
62,12.90%,Chapel Hill,Screw Cap,Australia,2017,Sangiovese Rose,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.6,South Australia,Sangiovese,Medium Bodied,Dry,,Ranked 15 of 31 Sangiovese from Australia,,
63,13.8%,Patrick of Coonawarra,Screw Cap,Australia,2015*,Mother of Pearl Cabernet Merlot,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.1,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
64,13.5%,Sans Pareil Estate,Screw Cap,Australia,,Black Label Reserve Merlot,$14.99 per bottle,$179.88 per case of 12,,,,750ml,8.4,New South Wales,Merlot,,,,,,
65,13.3% (2015),Charlottes,Screw Cap,Australia,2015,Sangiovese,$7.00 in any six,$84.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.9 (2015),,Sangiovese,Medium Bodied,Dry,,,,
66,13.5,Baily & Baily,Screw Cap,Australia,2018*,Jump 'n' Jive Shiraz Viognier,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,,Shiraz Viognier,,Dry,,,,
67,13.5% (2015),Wow What A,Screw Cap,Australia,2015*,Merlot,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2015),,Merlot,Medium Bodied,Dry,,,,
68,,,,,,Unknown,,,,,,,,,,,,,,,
69,13.5,Le Tour,Screw Cap,Australia,2017*,Cabernet Merlot,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,,Cabernet Sauvignon and Merlot,Medium Bodied,Dry,,,,
70,13.20%,Penfolds,Cork,Australia,1954,Grange 1954,"$30,000.00 per bottle",,,,,750mL,7.8,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
71,15.00%,Jim Barry,Cork,Australia,1994,The Armagh Shiraz 1994,$350.00 per bottle,Ranked 16 of 20 Shiraz from Australia,,,Clare Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
72,14%,Giaconda,Cork,Australia,2016,Warner Vineyard Shiraz 2016,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,Beechworth,750mL,8.3,Victoria,Shiraz,,,,,,
73,14%,Giaconda,Cork,Australia,2016,Estate Vineyard Shiraz 2016,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,,Beechworth,750mL,8.3,Victoria,Shiraz,,,,,,
74,15.00%,Wendouree,Cork,Australia,2009,Cabernet Sauvignon 2009,$151.99 per bottle,,,,Clare Valley,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,Outstanding
75,14.50%,Penfolds,Cork,Australia,2013,Grange 2013 Magnum 1.5L,"$2,000.00 per bottle",,,,,1500mL,17.2,South Australia,,Full Bodied,Dry,,,,
76,13.50%,Giaconda,Screw Cap,Australia,,Warner Shiraz 2005,$123.49 in any six,$129.99 per bottle,Ranked 74 of 137 Shiraz from Victoria,,Beechworth,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,,Excellent
77,14.00%,Wolf Blass,Screw Cap,Australia,,Platinum Label Shiraz 2010,$140.60 in any six,$843.60 per case of 6,$147.99 per bottle,"Awards: Double Gold - 2017 San Francisco International Wine Competition, Silver Medal - San Francisco International Wine Competition 2016, 5 Gold Medals - Perth Royal Wine Show 2012, Rutherglen Wine Show 2012, Royal Adelaide Wine Show 2012, Melbourne Royal Wine S",Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
78,14.00%,Henschke,Cork,Australia,2001,Hill of Grace 2001 6L,"$13,754.00 per bottle",,,,Eden Valley,6L,66.4,South Australia,Shiraz,Full Bodied,,,,,
79,14.00%,Grant Burge,Cork,Australia,2002,Meshach Shiraz 2002,$169.99 per bottle,Ranked 30 of 42 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,Outstanding
80,13.00%,Wynns,Cork,Australia,1982,John Riddoch Cabernet Sauvignon 1982,$750.00 per bottle,,,,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,Exceptional
81,15.00%,Jim Barry,Cork,Australia,2004,The Armagh Shiraz 2004,$299.99 per bottle,"$1,710.00 per case of 6",Ranked 2 of 26 Shiraz from Clare Valley,,Clare Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
82,12.70%,Penfolds,Cork,Australia,1961,Grange 1961,"$4,100.00 per bottle",,,,Barossa Valley,750mL,7.4,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
83,12.90%,Penfolds,Cork,Australia,1983,Grange 1983 Magnum 1.5L,"$2,000.00 per bottle",,,,,1.5L,15,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
84,14.50%,Balnaves,Cork,Australia,2005,The Tally Reserve Cabernet Sauvignon 2005,$124.99 per bottle,Ranked 3 of 34 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,Outstanding
85,12.50%,Mount Mary,Cork,Australia,,Quintet Cabernet 2004 Magnum 1.5L,$575.00 per bottle,,,,Yarra Valley,1.5L,14.8,Victoria,Cabernet Blend,Full Bodied,Dry,,,,
86,13.00%,Penfolds,Cork,Australia,,St Henri Shiraz 1971,"$1,400.00 per bottle",,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,
87,14.00%,Wendouree,Cork,Australia,2002,Cabernet Sauvignon 2002,$156.99 per bottle,,,,Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,Outstanding
88,14.50%,Jim Barry,Cork,Australia,1998,The Armagh Shiraz 1998,$325.00 per bottle,Ranked 8 of 21 Shiraz from South Australia,,,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,Exceptional
89,14.00%,Barossa Valley Estate,Cork,Australia,1998,E & E Black Pepper Shiraz 1998,$145.99 per bottle,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,Outstanding
90,,,,,,Unknown,,,,,,,,,,,,,,,
91,13.4%,Wendouree,Cork,Australia,,Shiraz Mataro 2012,$124.99 per bottle,,,,Clare Valley,750mL,8.2,South Australia,Shiraz Mataro,Full Bodied,Dry,,,,
92,,,,,,Unknown,,,,,,,,,,,,,,,
