,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 4,Wine Body,Vegan Friendly,Price Option 5,Organic
27,13%,Cockatoo Ridge,Screw Cap,Australia,2016*,Chardonnay 1L,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,1L,10.2,South Australia,Chardonnay,Dry,,,,,,
28,11%,Cookoothama,Screw Cap,Australia,2016*,Botrytis Semillon 375mL,$18.05 in any six,$216.60 per case of 12,$18.99 per bottle,Awards: 2016 James Halliday Australian Wine Companion - 5 Star Winery (current vintage) 2018 James Halliday Australian Wine Companion - 95 Points (current Vintage) 2017 Sydney Royal Wine Show - Gold (current vintage) 2017 James Halliday Australian Wine Companion,Darlington Point,375mL,3.3,New South Wales,Semillon,Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 27 of 45 Sémillon from New South Wales,
29,14%,Allandale,Screw Cap,Australia,2017*,Chardonnay,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,8.3,New South Wales,Chardonnay,Dry,,,,,,
30,12%,Ad Hoc,Screw Cap,Australia,2017*,Wallflower Riesling,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Great Southern,750mL,7.1,Western Australia,Riesling,Dry,,,,,,
31,13.5%,Devlin's Mount,Screw Cap,Australia,,Chardonnay,$8.00 per bottle,$48.00 per case of 6,,,Riverland,750mL,8,South Australia,Chardonnay,Dry,,,Full Bodied,true,,
32,8.0% (Non Vintage),Sweet Lips,Screw Cap,Australia,Non Vintage*,Orange Blossom & Nutmeg,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,,,750mL,4.7 (Non Vintage),,Moscato,,,,,,,
33,12.0%,Tyrrell's,Screw Cap,Australia,2017*,Moon Mountain Chardonnay,$19.99 per bottle,$114.00 per case of 6,$19.00 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.1,New South Wales,Chardonnay,Dry,,Ranked 12 of 21 Chardonnay from Lower Hunter,,,,
34,12.5%,Brokenwood,Screw Cap,Australia,2017*,Chardonnay,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.","Beechworth, Orange, Cowra and Hunter Valley",750mL,7.4,Victoria,Chardonnay,Dry,,,,,,
35,6.5% (2017),Mariposa,Screw Cap,Australia,2017*,Moscato,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.8 (2017),,Moscato,Dry,,,,,,
36,13.5%,Snobs Creek Estate,Screw Cap,Australia,Screw Cap,'Crispin' Pinot Gris 2017,$22.99 per bottle,$275.88 per case of 12,Dry White,,Lake Eildon,750mL,8,Victoria,Pinot Gris,Dry,,,Medium Bodied,,,
37,13.4%,Savaterre,Screw Cap,Australia,2016*,Chardonnay,$68.39 in any six,$410.34 per case of 6,$71.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Beechworth,750mL,7.9,Victoria,Chardonnay,Dry,Excellent,,,,,
38,13.9%,Pizzini,Screw Cap,Australia,2017*,Arneis,$22.79 in any six,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,750mL,8.2,Victoria,Arneis,Dry,,,,,,
39,,,,,,Unknown,,,,,,,,,,,,,,,,
40,,,,,,Unknown,,,,,,,,,,,,,,,,
41,13.5%,Parker Coonawarra Estate,Screw Cap,Australia,2017*,Coonawarra Series Chardonnay,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.0,South Australia,Chardonnay,Dry,,,,,,
42,13.5% (2014),Swings & Roundabouts,Screw Cap,Australia,2014*,Chardonnay,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8 (2014),Western Australia,Chardonnay,Dry,,,,,,
43,12.5% (2016),Fraser Gallop,Screw Cap,Australia,2016*,Semillon Sauvignon Blanc,$20.00 in any six,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4 (2016),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
44,,,,,,Unknown,,,,,,,,,,,,,,,,
45,13.5%,Tamar Ridge,,Australia,2017,Sauvignon Blanc,$120.00 per case of 6,$20.99 per bottle,"Awards: Gold, 2017 Melbourne Wine Show. Class 23.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,,Sauvignon Blanc,,,,,,,
46,13.0% (2010),Lark Hill,Screw Cap,Australia,2010*,Biodynamic Chardonnay,$42.75 in any six,$513.00 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.7 (2010),Australian Capital Territory,Chardonnay,Dry,,Ranked 13 of 69 Chardonnay from New South Wales,,,,
47,9.0%,Brown Brothers,Screw Cap,Australia,2014,Patricia Late Harvest Noble Riesling 375mL,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"Awards: 4 Trophies - Sydney Royal Wine Show 2010, National Wine Show 2010, Victorian Wine Show 2010, Victorian Wine Show 2009. 11 Gold - Royal Adelaide Wine Show 2012, Canberra International Riesling Challenge 2012, 5 Nations Wine Challenge 2012, Royal Royal Bris",King Valley,375mL,2.7,Victoria,Riesling,Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
48,13%,Swan Bay,Screw Cap,Australia,2015*,Chardonnay,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,Victoria,Chardonnay,Dry,,Ranked 6 of 15 Chardonnay from Geelong,,,,
49,13.5,Pure Vision,Screw Cap,Australia,,Sauvignon Blanc,$15.00 per bottle,$84.00 per case of 6,,,,750mL,8,,Sauvignon Blanc,,,,,,,
50,12.0% (2013),Lark Hill,Screw Cap,Australia,2013*,Biodynamic Viognier,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.1 (2013),Australian Capital Territory,Viognier,Dry,,,,,,
51,,,,,,Unknown,,,,,,,,,,,,,,,,
52,12.5%,Swings & Roundabouts,Screw Cap,Australia,2017*,Semillon Sauvignon Blanc,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
53,12.5%,Grosset,Screw Cap,Australia,2018*,Alea Riesling,$34.19 in any six,$410.28 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,Ranked 1 of 43 Riesling from Clare Valley,,,,true
54,13.5%,Krondorf,Screw Cap,Australia,2018*,Chardonnay,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0,South Australia,Chardonnay,Dry,,,,,,
55,13.5% (2015),Watershed,Screw Cap,Australia,2015*,Shades Chardonnay,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8 (2015),Western Australia,Chardonnay,Dry,,,,,,
56,12.7%,d'Arenberg,Screw Cap,Australia,2016*,Money Spider Roussanne,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.5,South Australia,Roussanne,Dry,,,Light Bodied,,,
57,12%,Montara,Screw Cap,Australia,,Grampains Riesling 2016,$23.99 per bottle,$287.88 per case of 12,"Awards: 95* James Haliiday 
Gold Melbourne International Wine Competition",,Grampians,750ml,7.1,Victoria,Riesling,Semi Dry,,,,,,
58,12.5,Claymore Wines,Screw Cap,Australia,2018,You'll Never Walk Alone Adelaide Hills Sauvignon Blanc 2018,$19.95 per bottle,$239.40 per case of 12,Sauvignon Blanc,,Adelaide Hills,750mL,7.4,FRE,Sauvignon Blanc,,,,,,,
59,12.00%,Leasingham,Screw Cap,Australia,,Classic Clare Riesling 2008,$47.49 in any six,$284.94 per case of 6,$49.99 per bottle,"Awards: 7 x Trophies: Mick Knappstein Trophy for the best Current Vintage Riesling, Clare Valley Wine Show, Class 1, 2008 - Clear Image Labels Trophy for the Best Riesling in Show - Jim Barry Trophy for the Best Wine of Show - The Royal Queensland Trophy for the",Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,
60,12.8%,Poole's Rock,Screw Cap,Australia,2017,Chardonnay,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.4,New South Wales,Chardonnay,Dry,,,,,,
61,12.5% (2017),Cookoothama,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$12.40 in any six,$148.80 per case of 12,$12.99 per bottle,Awards: 2016 James Halliday Australian Wine Companion - 5 Star Winery,King Valley,750mL,7.4 (2017),Victoria,Sauvignon Blanc Semillon,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
62,13.4% (2013),Driftwood,Screw Cap,Australia,2013*,Artifacts Sauvignon Blanc Semillon,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0 (2013),Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,
63,10.2%,De Bortoli Deen,Screw Cap,Australia,,Vat 5 Botrytis Semillon 375mL 2016,$13.60 per bottle,$77.40 per case of 6,"Awards: Trophy - 2018 Rutherglen Wine Show
Gold - 2018 Rutherglen Wine Show
Bronze - 2018 Adelaide Wine Show
Bronze - 2018 Australian Sweet Wine Challenge
Bronze - 2018 Decanter Asia Wine Awards",,Riverina,375mL,3.0,New South Wales,Botrytis Semillon,,,,,,,
64,13.50%,Clos Clare,Screw Cap,Australia,2010*,Aged Riesling,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8,South Australia,Riesling,Dry,,Ranked 11 of 46 Riesling from Clare Valley,,,,
65,13.0% (2013),Yeringberg,Cork,Australia,2013*,Chardonnay,$57.00 in any six,$684.00 per case of 6,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2013),Victoria,Chardonnay,Dry,,Ranked 18 of 68 Chardonnay from Yarra Valley,,,,
66,12.5%,Sandalford,Screw Cap,Australia,2017*,Estate Reserve Verdelho,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.4,Western Australia,Verdelho,Dry,,,,,,
67,13.8% (2015),Mount Macleod,Screw Cap,Australia,2015*,Chardonnay,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,8.2 (2015),Victoria,Chardonnay,Dry,,,,,,
68,13.5%,Barwang,Screw Cap,Australia,2016*,Chardonnay,$15.99 per bottle,$91.20 per case of 6,$15.20 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Tumbarumba,750mL,8.0,New South Wales,Chardonnay,Dry,,,,,,
69,12.5% (2017),Clonakilla,Screw Cap,Australia,2017*,Riesling 750mL,$32.30 in any six,$193.80 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.4 (2017),Australian Capital Territory,Riesling,Dry,,Ranked 2 of 19 Riesling from New South Wales,,,,
70,12%,Deep Woods,Screw Cap,Australia,2016*,Hillside Semillon Sauvignon Blanc,$24.99 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
71,8%,Ativo,Can Closure,Australia,,Spritzer Crisp White Cans 250mL,$23.99 per pack of 4,$126.99 per case of 24,$6.99 per can (in store),,,250mL,1.6,,,,,,,,,
72,13%,De Bortoli,Screw Cap,Australia,2016*,First Block Chardonnay,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,,Chardonnay,Dry,,,,,,
73,13.0%,Thomas Labaille,,Australia,,Sancerre Les Aristides,$54.95 per bottle,$659.40 per case of 12,,,,750mL,7.6,,Sauvignon Blanc,,,,,,,
74,12.5%,Bay of Fires,Screw Cap,Australia,2017*,Riesling,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,750mL,7.4,Tasmania,Riesling,Dry,,,,,,
75,12.5% (2015),Penna Lane,Screw Cap,Australia,2015*,Watervale Riesling,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4 (2015),South Australia,Riesling,Dry,,Ranked 25 of 55 Riesling from Clare Valley,,,,
76,13.0%,Flametree,Screw Cap,Australia,2017,SRS Chardonnay,$53.99 per bottle,$307.80 per case of 6,$51.30 in any six,Awards: Gold Medal International Wine Challenge 2018,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 4 of 61 Chardonnay from Margaret River,
77,12.5% (2016),Greedy Bird,Screw Cap,Australia,2016,Chardonnay,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4 (2016),,Chardonnay,Dry,,,,,,
78,12.5,Loose Leaf,Screw Cap,Australia,,2016 Semillon Sauvignon Blanc,$17.99 per bottle,$215.88 per case of 12,,,Margaret River,750ml,7.4,,,,,,,,,
79,12.5%,Claymore Wines,Screw Cap,Australia,2018,Tricky Riesling 2018,$17.95 per bottle,$215.40 per case of 12,2017,,Clare Valley,750mL,7.4,,Riesling,,,,,,,
80,12.5,Le Tour,Screw Cap,Australia,2017*,Sauvignon Blanc,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Sauvignon Blanc,Dry,,,,,,
81,11.5%,The Blackwood,Screw Cap,Australia,2018*,Ellis Creek Sauvignon Blanc,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8,Western Australia,Sauvignon  Blanc,Dry,,,,,,
82,13.0% (2012),Wise,Screw Cap,Australia,2012*,Semillon Sauvignon Blanc,$16.15 in any six,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2012),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
83,11.5,Le Tour,Screw Cap,Australia,2016*,Semillon,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Semillon,Dry,,,,,,
84,12.5%,Seppelt,,Australia,2017*,One Mile Drive Chardonnay,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,Chardonnay,,,Ranked 22 of 38 Chardonnay from Adelaide Hills,,,,
85,7.000000000000001%,Amberley,Screw Cap,Australia,2017*,Kiss & Tell Moscato,$11.39 in any six,$68.34 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,4.1,Western Australia,Moscato,Semi Sweet,,,,,,
86,< 0.5%,Lindeman's,Cork,Australia,Non Vintage,Maiden Press 0.5% Low Alc Sparkling Moscato,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,,South East Australia,750mL,< 0.3,,Moscato,Semi Sweet,,,,,,
87,13.5%,TOORAK,,Australia,,Chardonnay,$8.60 per bottle,$103.17 per case of 12,,,Riverina,750mL,8.30,New South Wales,Chardonnay,,,,,,,
88,12.5%,Vandenberg,,Australia,,Chardonnay,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,,,750mL,7.4,,,,,,,,,
89,12.5%,Rosemount,Screw Cap,Australia,2018*,Blends Semillon Sauvignon Blanc,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,South Australia,Semillon Sauvignon Blanc,Dry,,,,,,
90,13,Moss Brothers,Screw Cap,Australia,,Chardonnay 2016,$17.99 per bottle,$203.88 per case of 12,Awards: 1 Silver - International Wine Challenge Tranche 1 2017. 1 Bronze - Rutherglen Wine Show 2016,,"Margaret River, WA",750mL,7.7,,Chardonnay,,,,,,,
91,10.50%,Brokenwood,Screw Cap,Australia,,Semillon 2012,$28.49 in any six,$342.00 per case of 12,$29.99 per bottle,Ranked 4 of 27 Sémillon from Lower Hunter,Hunter Valley,750mL,6.3,New South Wales,Semillon,Dry,,,,,,
