,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Style,Price Option 4,Region,State,Vegan Friendly,Price Option 5,Langtons Classified,Organic
37,Semillon Sauvignon Blanc,13%,Queen Snapper,,Australia,2018*,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Semillon Sauvignon Blanc,,,Margaret River,Western Australia,,,,
38,Chardonnay,14%,Bannockburn,Cork,Australia,2016*,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Chardonnay,Dry,,Geelong,Victoria,,,,
39,Cool Climate Chardonnay,13%,Red Hill Estate,,Australia,2017*,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chardonnay,Dry,,,Victoria,,,,
40,Expressions Fresh As A Daisy Semillon Sauvignon Blanc,12.5%,Evans & Tate,Screw Cap,Australia,2017*,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Semillon Sauvignon Blanc,Dry,,,New South Wales,,,,
41,Brooks Chardonnay,14%,Cape Mentelle,Screw Cap,Australia,2016*,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Chardonnay,Dry,,Margaret River,Western Australia,,,,
42,Sauvignon Blanc,12.5%,Ninth Island,Screw Cap,Australia,2017*,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Sauvignon Blanc,Dry,,Northern Tasmania,Tasmania,,,,
43,Tasmania Pinot Gris,13.5%,Coldstream Hills,Screw Cap,Australia,2017*,$20.80 in any six,$124.80 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Pinot Gris,,,,Tasmania,,,,
44,Olive Grove Chardonnay,13.5%,d'Arenberg,Screw Cap,Australia,2017,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Chardonnay,Dry,,McLaren Vale,South Australia,,,,
45,Art Series Sauvignon Blanc,13%,Leeuwin Estate,Screw Cap,Australia,2016*,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Sauvignon Blanc,Dry,Ranked 7 of 15 Sauvignon Blanc from Margaret River,Margaret River,Western Australia,,,,
46,Hanwood Estate Chardonnay,12.5%,McWilliam's,Screw Cap,Australia,2017*,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,"Awards: Gold Medal - China Wine and Spirits Awards 2017 (2016 vintage), Bronze Medal - Riverina Wine Show 2016",750mL,7.4,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Riverina,New South Wales,,,,
47,LTC Semillon Sauvignon Blanc,13.5% (2017),Pierro,Screw Cap,Australia,2017*,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8 (2016),Semillon Sauvignon Blanc,Dry,,Margaret River,Western Australia,,,,
48,Pinot Grigio,13%,Artemis,Screw Cap,Australia,2017*,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Pinot Grigio,Dry,,Southern Highlands,New South Wales,,,,
49,Classic Dry White Cask 4L,11%,Stanley,Cask Closure,Australia,Non Vintage*,$12.99 each,$47.80 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,35.0,White Blend,Dry,,,South Australia,,,,
50,Bin 7 Riesling 2012,12.5%,Leasingham,Screw Cap,Australia,2012,$23.70 in any six,$142.80 per case of 6,$24.99 per bottle,"Awards: Decanter World Wine Awards, 2013: Bronze, 
International Wine & Spirit Competition, 2013: Silver, 
San Francisco International Wine Competition, 2013: Gold",750mL,7.4,Riesling,,,Clare Valley,South Australia,,,,
51,Billy's Shadow Chardonnay,13%,Jamiesons Run,Screw Cap,Australia,2018*,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chardonnay,Dry,,,South Australia,,,,
52,Pinot Grigio,13%,Red Hill Estate,Screw Cap,Australia,2018*,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Pinot Grigio,Dry,,Mornington Peninsula,Victoria,,,,
53,Sauvignon Blanc,12%,Coldstone,Screw Cap,Australia,2017,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Sauvignon Blanc,Dry,,King Valley,Victoria,,,,
54,Cawarra Chardonnay,13.5%,Lindeman's,Screw Cap,Australia,2017*,$5.15 in any six,$30.90 per case of 6,$5.40 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Chardonnay,Dry,,Murray Darling,Victoria,,,,
55,Stamp of Australia Moscato 1L,6%,Hardy's,Screw Cap,Australia,2018,$5.90 in any six,$35.40 per case of 6,$6.20 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1L,4.7,Moscato,Semi Sweet,,,South Australia,,,,
56,Barwang Tumbarumba Chardonnay 2012,13.10%,McWilliam's,,Australia,2012,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,,750mL,,Chardonnay,Dry,,Tumbarumba,New South Wales,,,,
57,Pinot Gris 2018,13.8%,Molly's Cradle,Screw Cap,Australia,2018,$18.00 per bottle,$108.00 per case of 6,Awards: Gold Medal @ Sydney International Wine Competition 2018,Ranked 38 of 50 Pinot Gris from Australia,750mL,8.2,Pinot Gris,,,"Hilltops, NSW",New South Wales,,,,
58,Sauvignon Blanc,11.5%,Four Sisters,Screw Cap,Australia,2017*,$12.99 per bottle,$74.40 per case of 6,$12.40 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Sauvignon Blanc,Dry,,Central Victoria,Victoria,,,,
59,No 53 Clare Valley Riesling,11.5%,Cleanskin,Screw Cap,Australia,2017*,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Riesling,Dry,,Clare Valley,South Australia,,,,
60,Firebird Adelaide Hills Chardonnay 2016,12.5%,Nova Vita,Screw Cap,Australia,,$22.75 per bottle,$273.00 per case of 12,,,750mL,7.4,Chardonnay,Dry,,Adelaide Hills,South Australia,true,,,
61,Premium Sauvignon Blanc Cask 2L,10.5%,Yalumba,Cask Closure,Australia,2018*,$12.99 each,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,17.0,Sauvignon Blanc,Dry,,,South Australia,true,,,
62,Bin 311 Chardonnay 2017,12.5%,Penfolds,Screw Cap,Australia,,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,,750mL,7.4,Chardonnay,,,"Adelaide Hills, Tasmania, Tumbarumba",,,,,
63,Semillon Sauvignon Blanc,11.5%,Tempus Two,Screw Cap,Australia,2018*,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Semillon Sauvignon Blanc,Dry,,,,,,,
64,Black Label Verdelho,11%,McGuigan,Screw Cap,Australia,2018*,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.5,Verdelho,Dry,,,,,,,
65,Windy Peak Pinot Grigio,12.5%,De Bortoli,Screw Cap,Australia,2018*,$11.99 per bottle,$68.40 per case of 6,$11.40 in any six,Awards: Gold Medal - Brisbane Wine Show 2016,750mL,7.4,Pinot Grigio,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Victoria,true,,,
66,Chardonnay,13.5%,Franklin Tate Estates,Screw Cap,Australia,2018*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,Awards: Top Gold - Riverina Wine Show Top Gold 2014.,750mL,8.0,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,,,,
67,Single Vineyard Chardonnay,12.5%,Yabby Lake,Screw Cap,Australia,2017*,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Chardonnay,Dry,,Mornington Peninsula,Victoria,,,,
68,Art Series Riesling,12.0% (2017),Leeuwin Estate,Screw Cap,Australia,2017*,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1 (2017),Riesling,Dry,Ranked 24 of 40 Riesling from South West Australia,Margaret River,Western Australia,,,,
69,Rumours Semillon Sauvignon Blanc,11.5% (2016),Warburn,Screw Cap,Australia,2016*,$5.25 in any six,$31.50 per case of 6,$5.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8 (2016),Semillon Sauvignon Blanc,Dry,,,,,,,
70,Chardonnay 4L,12.5%,Stanley,Cask Closure,Australia,Non Vintage*,$12.99 each,$47.80 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,39.0,Chardonnay,Dry,,,New South Wales,,,,
71,Chardonnay Verdelho,13.5%,Houghton,Screw Cap,Australia,2017*,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Chardonnay Verdelho,Dry,,,Western Australia,,,,
72,Riesling,12.3%,Wynns,Screw Cap,Australia,2018*,$17.09 in any six,$102.54 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.3,Riesling,Dry,,Coonawarra,South Australia,,,,
73,Sauvignon Blanc,12.5%,Bird In Hand,Screw Cap,Australia,2018*,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Sauvignon Blanc,Dry,,Adelaide Hills,South Australia,,,,
74,Premium Chardonnay Cask 4L,12.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,$29.90 per case of 2,$18.99 per cask,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,39.0,Chardonnay,Dry,,,,,,,
75,Sauvignon Blanc,12%,Hesketh,Screw Cap,Australia,2018*,$16.90 in any six,$101.40 per case of 6,$17.80 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Sauvignon  Blanc,Dry,,Adelaide Hills,South Australia,,,,
76,Pinot Grigio,13.2%,Quealy,Screw Cap,Australia,2017*,$20.90 in any six,$125.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Pinot Grigio,Dry,Ranked 4 of 40 Pinot Grigio from Australia,Mornington Peninsula,Victoria,,,,
77,The Chronicles Twice Lost Pinot Grigio,12.5%,Hardys,Screw Cap,Australia,2017*,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Pinot Grigio,Dry,,Limestone Coast,South Australia,,,,
78,Pinot Gris,14.5% (2016),Josef Chromy,Screw Cap,Australia,2016*,$26.59 in any six,$319.08 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.5 (2016),Pinot Gris,Dry,,Northern Tasmania,Tasmania,,,,
79,Chardonnay,13%,Devil's Corner,Screw Cap,Australia,2017*,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chardonnay,Dry,Ranked 28 of 38 Chardonnay from Tasmania,East Coast Tasmania,Tasmania,,,,
80,Reserve Bin A Chardonnay 2016,13.50%,Penfolds,Screw Cap,Australia,2016,$104.50 in any six,$627.00 per case of 6,$110.00 per bottle,,750mL,8,Chardonnay,Dry,,Adelaide Hills,South Australia,,,,
81,Crisp Chardonnay,12.5%,Fifth Leg,Screw Cap,Australia,2017*,$12.90 in any six,$77.40 per case of 6,$13.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Chardonnay,Dry,,,Western Australia,,,,
82,Adelaide Hills Chardonnay 2016,13%,Woodlands Ridge Vineyard,Screw Cap,Australia,,Delivery Offer$96.00 per case of 12,$16.99 per bottle,$203.88 per case of 12,Awards: 89 points - Australian Wine Companion,750mL,7.7,Chardonnay,Dry,,Adelaide Hills,South Australia,true,,,
83,Semillon,11%,Brokenwood,Screw Cap,Australia,2017*,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,Awards: Gold Medal - Royal Adelaide Wine Show 2015,750mL,6.5,Semillon,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,New South Wales,,Ranked 8 of 30 Sémillon from Lower Hunter,,
84,Moscato 275mL,5.5%,Brown Brothers,Screw Cap,Australia,2017*,$19.99 per pack of 4,$99.99 per case of 24,$5.49 per bottle (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",275mL,1.2,Moscato,Semi Sweet,,,,,,,
85,Springvale Riesling,12.9%,Grosset,Screw Cap,Australia,2017,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.6,Riesling,Dry,Ranked 4 of 70 Riesling from Clare Valley,Clare Valley,South Australia,,,Outstanding,true
86,Reserve Chardonnay,13.3% (2015),Oscars,Screw Cap,Australia,2015*,$11.90 per bottle,$67.80 per case of 6,$11.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.9 (2015),Chardonnay,Dry,,Yarra Valley,Victoria,,,,
87,Dry White,10.00%,Cleanskin,Screw Cap,Australia,Non Vintage,$3.75 in any six,$22.50 per case of 6,$3.95 per bottle,,750mL,5.9,White Blend,Dry,,,,,,,
88,Semillon Sauvignon Blanc,11%,Yellow Tail,Screw Cap,Australia,2017*,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.5,Semillon Sauvignon Blanc,Dry,,,,,,,
89,Lisa McGuigan Blaec Silver Moscato NV,8.1,Lisa McGuigan,Crown Seal,Australia,,$71.56 per pack of 2,$429.36 per case of 12,,,750mL,4.8,White Wine,,,,,,,,
90,Premium Pinot Grigio Cask 4L,11.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,36.0,Pinot Grigio,Dry,,,New South Wales,,,,
