,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
14,14%,Mountadam,Screw Cap,Australia,2016*,Chardonnay,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,750mL,8.3,South Australia,Chardonnay,Dry,,,,,
15,13.5% (2017),Pipers Brook,Screw Cap,Australia,2017*,Pinot Gris,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Northern Tasmania,750mL,7.7 (2015),Tasmania,Pinot Gris,Dry,,,,,
16,11.00%,Cleanskin,Screw Cap,Australia,Non Vintage,Soft White,$3.75 in any six,$22.50 per case of 6,$3.95 per bottle,,,,750mL,6.5,,White Blend,Dry,,,,,
17,13%,Jamiesons Run,Screw Cap,Australia,2017*,Limestone Coast Chardonnay,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Limestone Coast,750mL,7.7,South Australia,Chardonnay,Dry,,,,,
18,13.5%,Forester Estate,Screw Cap,Australia,2018,Sauvignon Blanc,$19.95 in any six,$119.70 per case of 6,$19.95 per bottle,"Awards: Gold – Margaret River Wine Show 2017
3 Gold - Australian Small Winemakers Show 2016, Royal Adelaide Wine Show 2016, Sydney International Wine Competition 2016 - Top 100 & Blue Gold.
Gold medal – Royal Perth Wine Show 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0,Western Australia,Sauvignon Blanc,Dry,,Ranked 16 of 73 Sauvignon Blanc from Australia,,,
19,11.5% (2015),Yalumba,Cask Closure,Australia,2015*,Premium Semillon Sauvignon Blanc Cask 2L,$74.40 per case of 6,$12.99 each,,,,,2L,18.0 (2015),South Australia,Semillon Sauvignon Blanc,Dry,,,true,,
20,12%,McGuigan,Screw Cap,Australia,2017*,The Plan Chardonnay,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Eastern Australia,750mL,7.1,,Chardonnay,Dry,,,,,
21,12.7%,Grosset,Screw Cap,Australia,2018,Polish Hill Riesling,$55.10 in any six,$661.20 per case of 12,$57.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.5,South Australia,Riesling,Dry,,,,Exceptional,true
22,13%,Wolf Blass,Screw Cap,Australia,2017*,Yellow Label Chardonnay,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,Awards: Double Gold - China Wine & Spirit Awards 2013,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,South Australia,Chardonnay,Dry,,,,,
23,13%,Yering Station,Screw Cap,Australia,2017*,Yarra Chardonnay,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7,Victoria,Chardonnay,Dry,,,,,
24,11%,De Bortoli,Cask Closure,Australia,Non Vintage*,Premium Traminer Riesling Cask 4L,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,35.0,,Traminer Riesling,Dry,,,,,
25,,,,,,Unknown,,,,,,,,,,,,,,,,
26,11.5%,Henschke,Screw Cap,Australia,2017*,Julius Riesling,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,Awards: Gold Medal - 2017 Royal Adelaide Wine Show; Silver Medal - 2017 The Drinks Business Global Riesling Masters,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,6.8,South Australia,Riesling,Dry,,Ranked 2 of 27 Riesling from Eden Valley,,,
27,11.5%,Shaw Wines,Screw Cap,Australia,,Winemakers Selection Riesling,$20.99 per bottle,$125.94 per case of 6,,,,Canberra District,750mL,6.8,New South Wales,Riesling,Dry,Light Bodied,,,,
28,12.5%,Brookland Valley Estate,Screw Cap,Australia,2017*,Verse 1 Semillon Sauvignon Blanc,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,,
29,13.5%,Magic Box,Screw Cap,Australia,,Butterbox Chardonnay 750mL,$10.90 in any six,$65.40 per case of 6,$11.50 per bottle,,,South East Australia,750mL,8.3,,Chardonnay,,,,,,
30,12%,Knappstein,Screw Cap,Australia,2017*,Hand Picked Riesling,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,
31,9%,Coolabah,Cask Closure,Australia,Non Vintage*,Sweet Fruity White Cask 5L,$12.99 each,$24.80 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,36.0,,White Blend,Sweet,,,,,
32,11%,De Bortoli,,Australia,2017,Sia Semillon Sauvignon Blanc,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.5,,Semillon Sauvignon Blanc,,,,,,
33,13.5%,Stefano Lubiana,Screw Cap,Australia,2017*,Primavera Chardonnay,$28.49 in any six,$341.88 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 23 of 38 Chardonnay from Tasmania,Southern Tasmania,750mL,8.3,Tasmania,Chardonnay,Dry,,,,,
34,13%,Deep Woods,Screw Cap,Australia,2016*,Hillside Chardonnay,$22.70 in any six,$136.20 per case of 6,$23.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,,,
35,11.5%,Tim Adams,Screw Cap,Australia,2018*,Riesling,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 35 of 43 Riesling from Clare Valley,Clare Valley,750mL,6.8,South Australia,Riesling,Dry,,,,,
36,12%,Chain Of Ponds,Screw Cap,Australia,2018*,Black Thursday Sauvignon Blanc,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"Awards: Gold Medal - Sydney Royal Wine Show, 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,Ranked 13 of 16 Sauvignon Blanc from Adelaide Hills,,,
37,13%,Howard Park,Screw Cap,Australia,2017*,Chardonnay,$44.99 per bottle,$513.60 per case of 12,$42.80 in any six,Awards: Blue Gold & Top 100 - Sydney International Wine Competition 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.7,Western Australia,Chardonnay,Dry,,Ranked 18 of 75 Chardonnay from South West Australia,,,
38,14.0%,Pierro,Screw Cap,Australia,2014*,Chardonnay,$80.80 in any six,$969.60 per case of 12,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 86 Chardonnay from Margaret River,Margaret River,750mL,8.3,Western Australia,Chardonnay,Dry,,,,Outstanding,
39,6.5%,Brown Brothers,,Australia,2018,Moscato Pinot Grigio,$10.40 in any six,$62.40 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.8,,Moscato Pinot Grigio,,,,,,
40,12.7%,De Bortoli,Screw Cap,Australia,2017*,Windy Peak Chardonnay,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.5,Victoria,Chardonnay,Dry,,,true,,
41,13.5%,Leeuwin Estate,Screw Cap,Australia,2011*,Art Series Chardonnay 2011,$118.80 in any six,"$1,425.60 per case of 12",$124.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0,Western Australia,Chardonnay,,,,,,
42,12.5% (2015),McGuigan,Screw Cap,Australia,2015*,The Brothers Chardonnay,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4 (2015),South Australia,Chardonnay,Dry,,,,,
43,13%,St Huberts,Screw Cap,Australia,2017*,The Stag Chardonnay,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,Victoria,Chardonnay,Dry,,,,,
44,9%,Berri Estates,Cask Closure,Australia,Non Vintage*,Dolce Bianco Cask 5L,$15.99 per cask,$28.90 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,5L,36.0,South Australia,White Blend,Sweet,,,,,
45,12.5%,Tempus Two,,Australia,2018*,Verdelho,$11.39 in any six,$68.34 per case of 6,$11.50 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hunter Valley,750mL,7.4,New South Wales,Verdelho,Dry,,,,,
46,12.5%,Nature's Step,Screw Cap,Australia,2018*,Organic Sauvignon Blanc,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide,750mL,7.4,South Australia,Sauvignon Blanc,Dry,,,true,,true
47,12.5%,Grant Burge,Screw Cap,Australia,2018*,Winemakers Selection Sauvignon Blanc,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.4,South Australia,Sauvignon  Blanc,Dry,,,,,
48,10.5,Mount Pleasant,Screw Cap,Australia,2009*,Blue Label Semillon,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,,,,,
49,10%,Jacob's Creek,Screw Cap,Australia,2018*,Twin Pickings Sauvignon Blanc Moscato,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.9,,Sauvignon Blanc Moscato,Dry,,,,,
50,13.5%,Katnook Estate,Screw Cap,Australia,2016*,Chardonnay,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.0,South Australia,Chardonnay,Dry,,,,,
51,13%,Hardys,Cask Closure,Australia,Non Vintage*,Reserve Chardonnay Cask 3L,$16.99 each,$64.80 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,3L,31.0,South Australia,Chardonnay,Dry,,,,,
52,13.0% (2011),Tyrrell's,Screw Cap,Australia,2011*,Stevens Semillon,$34.19 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hunter Valley,750mL,7.8 (2011),New South Wales,Semillon,Dry,,,,,
53,12.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,Premium Semillon Chardonnay Cask 4L,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,39.0,New South Wales,Semillon Chardonnay,Dry,,,,,
54,12.5%,Deep Woods,Screw Cap,Australia,2018*,Ivory Semillon Sauvignon Blanc,$12.35 in any six,$73.29 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,,,,,
55,8.5%,McGuigan,Screw Cap,Australia,2018*,Black Label Moscato,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,5.0,,Moscato,Semi Sweet,,,,,
56,9.5%,Golden Oak,Cask Closure,Australia,Non Vintage*,Medium Dry White Cask 4L,$9.99 each,$19.00 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,30.0,,White Blend,Dry,,,,,
57,12.5%,Lethbridge Estate,Screw Cap,Australia,2017*,Chardonnay,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Geelong,750mL,7.4,Victoria,Chardonnay,Dry,,,,,
58,11.5%,Taylors,Screw Cap,Australia,2017*,Discoveries Semillion Sauvignon Blanc,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.8,South Australia,Semillon Sauvignon Blanc,,,,,,
59,13%,Taylors,Screw Cap,Australia,2017*,Estate Pinot Gris,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,7.7,South Australia,Pinot Gris,Dry,,,,,
60,9.50%,Sonata Estate,Cask Closure,Australia,Non Vintage,Soft Fruity White Cask 4L,$8.99 each,$17.10 per case of 2,,,,,4L,30,,White Blend,Dry,,,,,
61,11.5%,McGuigan,Screw Cap,Australia,2018*,The Plan Riesling,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.8,South Australia,Riesling,Dry,,,,,
62,12.5%,Cullen,Screw Cap,Australia,2017*,Mangan Vineyard Sauvignon Blanc Semillon,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 20 Sauvignon Blanc from Margaret River,Margaret River,750mL,7.4,Western Australia,Sauvignon Blanc Semillon,Dry,,,,,true
63,12.50%,De Bortoli,Cask Closure,Australia,Non Vintage,Premium Verdelho Cask 4L,$27.90 per case of 2,$18.99 each,,,,,4L,39.45,New South Wales,Verdelho,Dry,,,,,
64,13.0%,Farr Rising,Cork,Australia,2016*,Geelong Chardonnay,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Geelong,750mL,7.7,Victoria,Chardonnay,Dry,,,,,
65,7,Audrey Wilkinson,Screw Cap,Australia,2017,Audrey Wilkinson Moscato 2018,$18.99 per bottle,$108.30 per case of 6,,,,Hunter Valley/Swan Hill,750mL,4.1,,Moscato,Sweet,,,,,
66,13.5% (2015),Freycinet,Screw Cap,Australia,2015*,Chardonnay,$35.20 in any six,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 39 Chardonnay from Tasmania,East Coast Tasmania,750mL,8.0 (2015),Tasmania,Chardonnay,Dry,,,,,
67,12.5%,Robert Oatley,Screw Cap,Australia,2016*,Signature Series Chardonnay,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 80 of 84 Chardonnay from Margaret River,Margaret River,750mL,7.4,Western Australia,Chardonnay,Dry,,,,,
68,12%,Rolling,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"Awards: Gold - China Wine and Spirits Awards 2018, Gold - AsiaImport News (AIN) Wine Challenge 2018
Bronze	Cowra Wine Show
Bronze	International Wine & Spirit Competition
Bronze	NSW Wine Awards
GOLD	China Wine and Spirits Awards Best Value
Gold	AsiaImport News (AIN) Wine Challenge
Bronze	International Wine Challenge - IWC Tranche 2 86 Points
Bronze	Decanter World Wine Awards
91 Points	James Halliday Wine Companion
Silver	China Wine and Spirits Awards","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,New South Wales,Sauvignon Blanc Semillon,Dry,,,,,
69,,Secret Selection,,Australia,2012,Coonawarra Riesling 2012,Online Offer$19.90 per bottle,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,,,750mL,,,Riesling,,,,,,
70,13.5%,Penfolds,Screw Cap,Australia,,Yattarna Chardonnay 2016,$139.00 per bottle,$792.60 per case of 6,$132.10 in any six,,,"Tasmania, Henty, Adelaide Hills, Tumbarumba",750mL,8,,Chardonnay,,,,,,
71,12%,Angove,Screw Cap,Australia,2018*,Organic Sauvignon Blanc,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 24 Sauvignon Blanc from South Australia,,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,,,,true
72,11%,St Hallett,Screw Cap,Australia,2017*,Poacher's Semillon Sauvignon Blanc,$12.35 in any six,$74.10 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,6.5,South Australia,Semillon Sauvignon Blanc,Dry,,,,,
73,13%,Forester Estate,Screw Cap,Australia,2017*,Chardonnay,$24.95 in any six,$149.70 per case of 6,$24.95 per bottle,"Awards: Gold – Blue Gold and Top 100 – Sydney International Wine Competition 2018, Gold – Royal Sydney Wine Show 2017
Blue Gold - Sydney International Wine Competition 2015. Gold - Royal Adelaide Wine Show 2011. Silver - International Wine & Spirits Competition 2014. 90 Points - James Halliday Chardonnay Challenge 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,Ranked 28 of 61 Chardonnay from Margaret River,,,
74,13,Cleanskin,Screw Cap,Australia,2018,No 34 Margaret River Chardonnay,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,,,
75,13%,Grant Burge,Screw Cap,Australia,2017*,Classic Collection Chardonnay,$8.55 in any six,$51.30 per case of 6,$7.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7,South Australia,Chardonnay,Dry,,,,,
76,12.5%,Brokenwood,Screw Cap,Australia,2018*,Umpires Vineyard Chardonnay,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,New South Wales,Chardonnay,Dry,,,,,
77,11.5%,Seppelt,Screw Cap,Australia,2018*,Drumborg Vineyard Riesling,$39.99 per bottle,$228.00 per case of 6,$38.00 in any six,"Awards: Gold Medal - Sydney Royal Wine Show, 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Henty,750mL,6.8,Victoria,Riesling,Dry,,Ranked 14 of 171 Riesling from Australia,,,
78,13.5%,Moondah Brook,Screw Cap,Australia,2017*,Verdelho,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,Western Australia,Verdelho,Dry,,,,,
79,13.5% (2017),Brown Brothers,Screw Cap,Australia,2017*,18 Eighty Nine Sauvignon Blanc,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"Awards: Gold - 2018 International Cool Climate Show, Class 8","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2017),Tasmania,Sauvignon Blanc,Dry,,,,,
80,6%,Banrock Station,Cask Closure,Australia,Non Vintage*,Still Moscato Cask 2L,$11.95 each,$68.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,2L,9.5,South Australia,Moscato,Semi Sweet,,,,,
81,13%,Xanadu,Screw Cap,Australia,2016,Chardonnay,$28.90 in any six,$173.40 per case of 6,$30.40 per bottle,Awards: Gold Medal - Royal Queensland Wine Show 2016 & Sydney Royal Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,,,
82,12%,Watershed,Screw Cap,Australia,2017*,Shades Sauvignon Blanc Semillon,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"Awards: Gold Medal - Sydney Royal Wine Show, 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.1,Western Australia,Sauvignon Blanc Semillon,Dry,,,,,
83,6,Watercolour,Screw Cap,Australia,2018*,Moscato 750mL,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6,,Moscato,Semi Sweet,,,,,
84,12.0% (2013),Secret Selection,Screw Cap,Australia,2017,Adelaide Hills Sauvignon Blanc,Online Offer$10.90 per bottle,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.1 (2013),South Australia,Sauvignon Blanc,Dry,,,,,
85,12.5%,Wine Men of Gotham,Screw Cap,Australia,2017*,Pinot Grigio,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Pinot Grigio,,,,,,
86,12%,Yalumba,Cask Closure,Australia,2017*,Premium Riesling Cask 2L,$12.99 each,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,2L,19.0,South Australia,Riesling,Dry,,,true,,
