,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Vegan Friendly
40,13.4% (2008),Brindabella Hills,Screw Cap,Australia,2008*,Shiraz,$24.69 in any six,$296.28 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 19 Shiraz from Canberra District,Canberra District,750mL,7.9 (2008),New South Wales,Shiraz,Full Bodied,Dry,,,
41,13.50%,Houghton,Cask Closure,Australia,,Red Classic 2L,$19.00 in any six,$112.80 per case of 6,$19.99 each,,,,2L,21,Western Australia,Cabernet Shiraz Merlot,,Dry,,,
42,14.50%,St Hugo,Cork,Australia,,Cabernet Sauvignon 2003 Magnum 1.5L,$120.99 per bottle,,,,,Coonawarra,1.5L,1.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,,
43,13.8% (2004),Norton Estate,Cork,Australia,2004*,Arapiles Run Shiraz,$33.25 in any six,$394.69 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0 (2004),Victoria,Shiraz,Full Bodied,Dry,,,
44,13.50%,Topper's Mountain,,Australia,2009,Red Earth Child Petit Verdot Barbera Nebbiolo Tannat 2009,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Red Blend of Show),,,750mL,8,New South Wales,Red Blend,,Dry,,,
45,14.50%,d'Arenberg,Cork,Australia,2002,Laughing Magpie Shiraz Viognier 2002,$49.99 per bottle,,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz Viognier,,Dry,,,
46,13.60%,St Huberts,Cork,Australia,2001,Cabernet Sauvignon 2001,$21.85 in any six,$259.35 per case of 12,$22.99 per bottle,,,Yarra Valley,750mL,8,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,
47,14.50%,Henschke,Cork,Australia,,Abbotts Prayer Cabernet Merlot 2008,,,,,,Adelaide Hills,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
48,14.90%,Bass Phillip,Cork,Australia,,Premium Pinot Noir 2013,$171.00 in any six,$179.99 per bottle,Ranked 5 of 17 Pinot Noir from Gippsland,,,Gippsland,750mL,8.6,Victoria,Pinot Noir,Light Bodied,Dry,Outstanding,,
49,12.30%,Penfolds,,Australia,1970,Grange 1970,$850.00 per bottle,,,,,Barossa Valley,750mL,7.3,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
50,14.50%,Mildara,Screw Cap,Australia,2007,Coonawarra Cabernet Sauvignon 2007,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
51,13.50%,Penfolds,Cork,Australia,,Bin 28 1989,$99.99 per bottle,,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,
52,13.00%,Lake's Folly,Cork,Australia,,Cabernets 1998,$129.99 per bottle,,,,,Hunter Valley,750mL,7.7,New South Wales,Cabernet Blend,Full Bodied,Dry,,,
53,13.80%,Henschke,Cork,Australia,,Keyneton Euphonium 1995,,,,,,Barossa Valley,750mL,8.2,South Australia,Shiraz Blends,Full Bodied,Dry,,,
54,13.00%,By Farr,Cork,Australia,,Sangreal Pinot Noir 2010,$69.99 per bottle,Ranked 3 of 24 Pinot Noir from Geelong,,,,Geelong,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,
55,14.00%,Jamiesons Run,Screw Cap,Australia,2008,Cabernet Sauvignon 2008,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,,,Limestone Coast,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
56,13.50%,Penfolds,Screw Cap,Australia,2007,Koonunga Hill Cabernet Merlot 2007,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,,,,750mL,8,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
57,14.0% (2010),Maverick,Cork,Australia,2010,Greenock Rise Shiraz,$30.35 in any six,$179.95 per case of 6,$31.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2010),South Australia,Shiraz,Full Bodied,Dry,,,
58,14.50%,Peter Lehmann,Screw Cap,Australia,,Drawcard Shiraz Mataro 2010,$29.99 per bottle,$169.15 per case of 6,$28.49 in any six,Ranked 20 of 27 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz Mataro,,Dry,,,
59,14.50%,Domaine A,Cork,Australia,2001,Cabernet Sauvignon 2001,,,,,,Coal River Valley,750mL,8.6,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
60,13.80%,Domaine A,Cork,Australia,1998,Cabernet Sauvignon 1998,,,,,,,750mL,8.2,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
61,13.00%,Penfolds,Cork,Australia,1996,Block 42 Cabernet Sauvignon 1996,$850.00 per bottle,,,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
62,13.0% (2013),Castle Rock Estate,Screw Cap,Australia,2013*,Cabernet Sauvignon Merlot,$16.88 in any six,$202.56 per case of 12,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Great Southern,750mL,7.7 (2013),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,
63,14.2% (2011),Alkoomi,Screw Cap,Australia,2011*,Frankland River Shiraz Viognier,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 38 of 55 Shiraz from Australia,,,Great Southern,750mL,8.4 (2011),Western Australia,Shiraz Viognier,,Dry,,,
64,14.0% (2013),Ad Hoc,Screw Cap,Australia,2013*,Middle Of Everywhere Shiraz,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 25 Shiraz from Great Southern,,,Frankland River,750mL,8.3 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,
65,13.0% (2016),De Bortoli,Screw Cap,Australia,2016*,Villages Grenache Rosé 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 35 of 85 Grenache from Australia,,,,Heathcote,750mL,7.7 (2016),Victoria,Grenache,Light Bodied,Dry,,,
66,13.50%,Penfolds,Screw Cap,Australia,,Koonunga Hill Cabernet Sauvignon 2012,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
67,14.0% (2014),Dominique Portet,Screw Cap,Australia,2014*,Fontaine Shiraz Cabernet,$14.88 in any six,$178.56 per case of 12,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3 (2014),Victoria,Shiraz Cabernet,,Dry,,,
68,13.50% (2010),Hollick,Cork,Australia,2010*,Ravenswood Cabernet Sauvignon,$68.39 in any six,$410.34 per case of 6,$71.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.0 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
69,,Penfolds,Cork,Australia,1952,Grange 1952,"$35,000.00 per bottle",,,,,,750mL,,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
70,13.20%,Wendouree,Screw Cap,Australia,2011,Cabernet Malbec 2011,$119.99 per bottle,,,,,Clare Valley,750mL,7.8,South Australia,Cabernet Malbec,,Dry,Outstanding,,
71,13.20%,Wendouree,Screw Cap,Australia,2011,Cabernet Malbec 2011,$119.99 per bottle,,,,,Clare Valley,750mL,7.8,South Australia,Cabernet Malbec,,Dry,Outstanding,,
72,14.00%,Penfolds,Cork,Australia,2005,St Henri Shiraz 2005 - Cork,$149.99 per bottle,Ranked 6 of 112 Shiraz from Barossa Valley,,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
73,13.0% (2013),Punt Road,Screw Cap,Australia,2013*,Emperor's Prize Cabernet Sauvignon,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7 (2013),Victoria,Cabernet Sauvignon,Medium Bodied,Dry,,,
74,14.8% (2012),St Hugo,Screw Cap,Australia,2012*,Shiraz Cabernet,$33.88 in any six,$203.28 per case of 6,$33.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.8 (2012),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
75,14.0% (2014),Fowles Wine,Screw Cap,Australia,2014*,490 Metres Cabernet Merlot,$7.88 in any six,$94.56 per case of 12,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3 (2014),Victoria,Cabernet Merlot,Medium Bodied,Dry,,,
76,14.8% (2012),St Hugo,Screw Cap,Australia,2012*,Shiraz Cabernet,$33.88 in any six,$203.28 per case of 6,$33.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.8 (2012),South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
77,14.0% (2014),Fowles Wine,Screw Cap,Australia,2014*,490 Metres Cabernet Merlot,$7.88 in any six,$94.56 per case of 12,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3 (2014),Victoria,Cabernet Merlot,Medium Bodied,Dry,,,
78,14.0% (2013),Pirie,Screw Cap,Australia,2013*,South Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,750mL,8.3 (2013),Tasmania,Pinot Noir,Light Bodied,Dry,,,
79,13.0% (2013),Punt Road,Screw Cap,Australia,2013*,Emperor's Prize Cabernet Sauvignon,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7 (2013),Victoria,Cabernet Sauvignon,Medium Bodied,Dry,,,
80,14.0%,Moss Wood,Screw Cap,Australia,2013,Cabernet Sauvignon 2013,$114.00 in any six,"$1,368.00 per case of 12",$119.99 per bottle,Ranked 2 of 72 Cabernet Sauvignon from Margaret River,,,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
81,15,Penley Estate,Screw Cap,Australia,,Helios Cabernet Sauvignon 2015,$90.00 per bottle,$540.00 per case of 6,,,,Coonawarra,750mL,8.9,,Cabernet Sauvignon,,,,,
82,13.4%,Bimbadgen,,Australia,2013,Estate Shiraz 2013,$42.80 in any six,$513.60 per case of 12,$29.99 per bottle,,,,750mL,8,,Shiraz,,,,,
83,14.00%,Petaluma,,Australia,1998,Coonawarra 1998,$99.99 per bottle,,,,,Coonawarra,750mL,8.3,South Australia,Red Blend,,Dry,Excellent,,
84,14.0% (2011),Yalumba,Screw Cap,Australia,2011*,FDR1A Cabernet Shiraz,$42.80 in any six,$253.80 per case of 6,$44.99 per bottle,"Awards: 3 Gold - Barossa Wine Show 2012, Barossa Wine Show 2011, Brisbane Wine Show 2012","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,8.3 (2011),South Australia,Cabernet Shiraz,Full Bodied,Dry,,Ranked 3 of 31 Cabernet Sauvignon from South Australia,true
85,13.5,Yalumba,Screw Cap,Australia,,The Strapper Grenache Shiraz Mataro 2012,$16.99 per bottle,$203.88 per case of 12,Ranked 9 of 27 Grenache from Barossa Valley,,,,750mL,8,,Grenache Shiraz Mata,,Dry,,,true
86,13.5% (2010),Logan,Screw Cap,Australia,2010*,Weemala Merlot,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8 (2010),New South Wales,Merlot,Medium Bodied,Dry,,,
87,14.30%,Kay Brothers Amery Vineyards,Cork,Australia,1994,Block 6 Shiraz 1994,$149.99 per bottle,,,,,McLaren Vale,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
88,14.30%,Kay Brothers Amery Vineyards,Cork,Australia,1994,Block 6 Shiraz 1994,$149.99 per bottle,,,,,McLaren Vale,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
89,15.0% (2010),Primo Estate,Screw Cap,Australia,2010*,Joseph Moda Cabernet Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 17 Cabernet Sauvignon from Fleurieu,,,,McLaren Vale,750mL,8.9 (2010),South Australia,Cabernet Merlot,Medium Bodied,Dry,Excellent,,
90,14.50%,Penfolds,Screw Cap,Australia,2007,St Henri Shiraz 2007,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,Ranked 1 of 78 Shiraz from Barossa Valley,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
91,14.50%,Penfolds,Screw Cap,Australia,2009,Bin 389 Cabernet Shiraz 2009,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 9 of 47 Cabernet Sauvignon from South Australia,,,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,Outstanding,,
92,14.50%,Penfolds,Screw Cap,Australia,2007,St Henri Shiraz 2007,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,Ranked 1 of 78 Shiraz from Barossa Valley,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
93,14.50%,d'Arenberg,Cork,Australia,1999,The Dead Arm Shiraz 1999,$124.99 per bottle,,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
94,15.00%,Wolf Blass,Screw Cap,Australia,,Black Label Cabernet Sauvignon Shiraz 2010,$103.60 in any six,$621.60 per case of 6,$109.00 per bottle,"Awards: 2 Trophies and Gold Medal - The Great Australian Red 2013. 2 Gold Medals -Royal Adelaide Wine Show 2014, China Wine & Spirit Awards 2013",Ranked 2 of 61 Cabernet Sauvignon from South Australia,,750mL,8.9,South Australia,Cabernet Sauvignon Shiraz,,Dry,,,
95,13.5%,Lindeman's,Screw cap,Australia,2017*,Bin 50 Shiraz 1L,Awards: Gold Medal - Cowra Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,1L,11,,Shiraz,,,,,
96,13.5% (2009),Moss Wood,Screw Cap,Australia,2009*,Pinot Noir,$56.10 in any six,$673.20 per case of 12,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 15 Pinot Noir from South West Australia,Margaret River,750mL,8.0 (2009),Western Australia,Pinot Noir,Light Bodied,Dry,,,
97,13.5% (2012),Cullen,Screw Cap,Australia,2012*,Vanya Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 63 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.0 (2012),Western Australia,Cabernet Sauvignon Petit Verdot,Full Bodied,Dry,,,
98,13.50%,Cape Mentelle,Screw Cap,Australia,2008,Cabernet Sauvignon 2008,Ranked 7 of 51 Cabernet Sauvignon from Margaret River,,,,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
