,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Vegan Friendly,Wine Body,Langtons Classified,Organic,Price Option 5
10,12.5%,Mount Majura,Screw Cap,Australia,2018,Riesling,$26.59 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.4,Australian Capital Territory,Riesling,Dry,Ranked 10 of 171 Riesling from Australia,,,,,
11,12.8,Artwine,Screw Cap,Australia,,In The Grove Gruner Veltliner,$26.00 per bottle,$156.00 per case of 6,"Awards: GOLD Medal - Australia Alternative Varieties Wine Show - 2017
Bronze Medals - Royal Adelaide, National Cool Climate, Small Vignerons Wine Shows 2017
Bronze Medal - National Cool Climate 2018",,Adelaide Hills,750ml,17.6,South Australia,Gruner Veltliner,,,true,Light Bodied,,,
12,12.5% (2017),Clonakilla,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.4 (2017),Australian Capital Territory,White Blend,Dry,,,,,,
13,12.4,Oakover Wines,Screw Cap,Australia,,Ministry Of Leisure Chenin 2017,$13.99 per bottle,$167.88 per case of 12,,,Western Australia,750ml,7.3,Western Australia,Chenin Blanc,Semi Sweet,,,Light Bodied,,,
14,13.0% (2011),Driftwood,Screw Cap,Australia,2011*,Classic White,$15.19 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2011),Western Australia,White Blend,Dry,,,,,,
15,13.5,Eddystone Point,Screw Cap,Australia,2017*,Pinot Gris,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,Tasmania,Pinot Gris,Dry,Ranked 18 of 21 Pinot Gris from Tasmania,,,,,
16,13.00%,Renmano,Cask Closure,Australia,Non Vintage,Chardonnay Cask 2L,$8.99 each,$51.30 per case of 6,,,,2L,21,South Australia,Chardonnay,Dry,,,,,,
17,13.0% (2016),Cape Barren,Screw Cap,Australia,2016*,Native Goose Chardonnay,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2016),South Australia,Chardonnay,Dry,,,,,,
18,11.00%,Tyrrell's,Cork,Australia,,Vat 1 Semillon 1999,$145.40 in any six,$152.99 per bottle,,,Hunter Valley,750mL,6.5,New South Wales,Semillon,Dry,,,,Outstanding,,
19,13.3% (2012),Alkoomi,Screw Cap,Australia,2012*,Sauvignon Blanc,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.9 (2012),Western Australia,Sauvignon Blanc,Dry,,,,,,
20,13.0% (2010),Tim Adams,Screw Cap,Australia,2010*,Semillon,$18.05 in any six,$216.60 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.7 (2010),South Australia,Semillon,Dry,Ranked 19 of 66 Sémillon from Australia,,,,,
21,12.50%,Michelini,Screw Cap,Australia,2016*,Pinot Grigio,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,"Awards: Wine Showcase Magazine - 95/100 & gold medal, James Halliday Wine Companion 2018 - 90/100 & gold medal, National Cool Climate WS - Bronze medal",,750mL,7.4,,Pinot Grigio,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
22,13.5% (2014),Katnook Estate,Screw Cap,Australia,2014*,Founders Block Chardonnay,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Coonawarra,750mL,8 (2014),South Australia,Chardonnay,Dry,,,,,,
23,13.0% (2012),Mount Langi Ghiran,Screw Cap,Australia,2012*,Cliff Edge Pinot Gris,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Grampians,750mL,7.7 (2012),Victoria,Pinot Gris,Dry,,,,,,
24,13.0,Amen Break,Screw Cap,Australia,Screw Cap,Chardonnay 2015,$24.99 per bottle,$142.44 per case of 6,"Awards: Trophy - Best Wine by a Small Producer, Sydney Royal Wine Show 2017; Gold Medal - Sydney Royal Wine Show 2017.",,Victorian Highlands,750mL,7.7,WNE,Chardonnay,Dry,,,,,,
25,13.0% (2015),Howard Park,Screw Cap,Australia,2015*,Sauvignon Blanc,$23.75 in any six,$140.95 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2015),Western Australia,Sauvignon Blanc,Dry,,,,,,
26,12.10%,O'Leary Walker,Screw Cap,Australia,,Polish Hill Riesling 2011,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Ranked 36 of 66 Riesling from Clare Valley,Clare Valley,750mL,7.2,South Australia,Riesling,Dry,,,,,,
27,13%,St John's Road,Screw Cap,Australia,2017*,Peace of Eden Riesling,$18.99 in any six,$113.99 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.7,South Australia,Riesling,Dry,Ranked 23 of 27 Riesling from Eden Valley,,,,,
28,13.5%,Oakridge,Screw Cap,Australia,2016*,864 Funder & Diamond Vineyard Drive Block Chardonnay,$63.65 in any six,$381.90 per case of 6,$66.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0,Victoria,Chardonnay,Dry,Ranked 4 of 71 Chardonnay from Yarra Valley,,,,,
29,12.5,Golden Oak,Cask Closure,Australia,,Chardonnay 4L,$9.99 each,$19.00 per case of 2,$17.10 in any six,,South Eastern Australia,4L,39,,Chardonnay,,,,,,,
30,13%,Fowles Wine,Screw Cap,Australia,2016*,Ladies Who Shoot Their Lunch Riesling,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Strathbogie Ranges,750mL,7.7,Victoria,Riesling,Dry,,,,,,
31,5.5%,Innocent Bystander,Can Closure,Australia,Non Vintage,Moscato Cans 250mL,$21.99 per pack of 4,$129.99 per case of 24,$5.99 per can (in store),,,250mL,1.1,,Moscato,,,,,,,
32,13.0% (2015),Knight Granite Hills,Screw Cap,Australia,2015*,Riesling,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Macedon Ranges,750mL,7.7 (2015),Victoria,Riesling,Dry,,,,,,
33,13% (2016),Tomich Hill,Screw Cap,Australia,2016*,Pinot Grigio,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2016),South Australia,Pinot Grigio,Dry,Ranked 2 of 21 Pinot Grigio from South Australia,,,,,
34,11.30%,Jim Barry,Screw Cap,Australia,2016,The Florita Riesling 2016,Delivery Offer$39.90 per bottle,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,Clare Valley,750mL,6.7,South Australia,Riesling,Dry,Ranked 14 of 66 Riesling from Clare Valley,,,,,
35,12.4,De Bortoli,Screw Cap,Australia,2015,Deen Vat 7 Chardonnay 2015,$10.99 per bottle,$63.00 per case of 6,,,,750mL,7.3,,Chardonnay,Dry,,,,,,
36,12.5%,Shaw Wines,Screw Cap,Australia,,Winemakers Selection Semillon Sauvignon Blanc,$20.99 per bottle,$125.94 per case of 6,,,Canberra District,750mL,7.4,New South Wales,"Semillon, Sauvignon Blanc",Dry,,,Light Bodied,,,
37,12.5%,Warburn,Cask Closure,Australia,Non Vintage*,Premium Chardonnay Cask 4L,$13.99 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,40.0,,Chardonnay,Dry,,,,,,
38,13.3% (2015),Ashbrook Estate,Screw Cap,Australia,2015*,Verdelho,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.9 (2015),Western Australia,Verdelho,Dry,,,,,,
39,10.8%,Some Young Punks,Screw Cap,Australia,2014*,"Monsters, Monsters Attack! Riesling",$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.4,South Australia,Riesling,Dry,,,,,,
40,12.50%,3 Drops,Screw Cap,Australia,2015*,Riesling,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mt Barker,750mL,7.4,Western Australia,Riesling,Dry,,,,,,
41,13.5%,Sew and Sew,Screw Cap,Australia,2017*,Sashiko Fiano,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,,Fiano,,,,,,,
42,12.5%,Skillogalee,Screw Cap,Australia,2017*,Riesling,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4,South Australia,Riesling,Dry,Ranked 42 of 70 Riesling from Clare Valley,,,,,
43,11.00%,Seppelt,Screw Cap,Australia,,Drumborg Vineyard Riesling 2010,$39.90 in any six,$237.00 per case of 6,$41.99 per bottle,,Henty,750mL,6.5,Victoria,Riesling,Dry,,,,,,
44,13.2% (2015),Soumah,Screw Cap,Australia,2015*,Hexham Single Vineyard Wild Savagnin,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.8 (2015),Victoria,Savagnin,Dry,,,,,,
45,13.2,La Bise,Screw Cap,Australia,2018,Adelaide Hills Pinot Gris 2018,$19.95 per bottle,$119.95 per case of 6,Dry White,,Adelaide Hills,750mL,7.8,FRE,Pinot Gris,Pinot Gris,,,,,,
46,11.0% (2013),Trentham Estate,Screw Cap,Australia,2013*,Noble Taminga 375mL,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Murray Darling,375mL,3.3 (2013),New South Wales,Taminga,Sweet,,,,,,
47,12%,Urban Assembly,Screw Cap,Australia,2017,Chardonnay,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,South Australia,Chardonnay,,,,,,,
48,12.5,Think Outside The Circle,Screw Cap,Australia,,Rongorongo Hilltops Viognier,$15.00 per bottle,$120.00 per case of 12,"Awards: Bronze 2018 International Cool Climate Wine Show
Bronze 2018 Cowra Wine Show",,Hilltops,750ml,7.4,New South Wales,Viognier,Dry,,,Light Bodied,,,
49,12.8   % (2015),Two Rivers,Screw Cap,Australia,2015*,Hidden Hive Verdelho,$13.29 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.6 (2015),New South Wales,Verdelho,Dry,,,,,,
50,12.5,Woodside Park,Screw Cap,Australia,2016,Pinot Gris 2016,$19.90 per bottle,$119.00 per case of 6,Dry White,,Adelaide Hills,750mL,7.4,FRE,Pinot Gris,,,,,,,
51,11.5% (2016),Best's Great Western,Screw Cap,Australia,2016*,Riesling,$23.80 in any six,$285.60 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Grampians,750mL,6.8 (2016),Victoria,Riesling,Dry,,,,,,
52,12.5%,Un Bel Jour,Screw Cap,Australia,2017,Semillon Sauvignon Blanc 750mL,$6.00 in any six,$34.20 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,3.7,Western Australia,Semillon Sauvignon Blanc,,,,,,,
53,11%,Tahbilk,Cork,Australia,2010*,1927 Marsanne,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"Awards: 3 Trophies - Cowra Wine Show 2016,  Cowra Wine Show 2015, Rutherglen Wine Show 2015. 7 Gold Medals - Cowra Wine Show 2015, Rutherglen Wine Show 2015, Perth Royal Wine Show 2015, Brisbane Wine Show 2015, Royal Adelaide Wine Show 2015, Victorian Wine Show 2",Goulburn Valley,750mL,6.5,Victoria,Marsanne,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
54,13.5% (2013),Narkoojee,Screw Cap,Australia,2013*,Lily Grace Chardonnay,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,8.0 (2013),Victoria,Chardonnay,Dry,,,,,,
55,12.5% (2012),Tscharke,Screw Cap,Australia,2012*,Girl Talk Savagnin,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.4 (2012),South Australia,Savagnin,Dry,,,,,,
56,9.5% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Moscato,$6.65 in any six,$39.90 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,5.6 (2015),South Australia,Moscato,Semi Sweet,,,,,,
57,11.8% (2012),Clovely Estate,Screw Cap,Australia,2012*,White Label Semillon Chardonnay,$13.99 per bottle,$159.48 per case of 12,$13.29 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",South Burnett,750mL,7.0 (2012),Queensland,Semillon Chardonnay,Dry,,,,,,
58,12.0%,Kirrihill,Screw Cap,Australia,2017*,Adelaide Hills Pinot Grigio 2017,$8.45 in any six,$101.40 per case of 12,$8.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.1,South Australia,Pinot Grigio,,,,,,,
59,13.0%,The Black Chook,Screw Cap,Australia,,Pinot Grigio,$18.00 per bottle,$108.00 per case of 6,,,Adelaide Hills,750mL,7.7,,Pinot Grigio,Dry,,,,,,
60,12.5,Beelgara Estate,Screw Cap,Australia,,Semillon Sauvignon Blanc 2017,$9.50 per bottle,$108.00 per case of 12,,,NSW,750mL,7.4,,null,,,,,,,
61,10% (2017),Brown Brothers,Screw Cap,Australia,2017*,Orange Muscat & Flora 375mL,$9.49 in any six,$113.88 per case of 12,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,375mL,2.7 (2014),Victoria,,Sweet,,,,,,
62,13%,Barwang,Screw Cap,Australia,2018*,Pinot Gris,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Tumbarumba,750mL,7.7,New South Wales,Pinot Gris,Dry,,,,,,
63,13%,Yering Station,Screw Cap,Australia,2015,Reserve Chardonnay 2015,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7,Victoria,Chardonnay,Dry,Ranked 16 of 71 Chardonnay from Yarra Valley,,,,,
64,12.0,Sans Pareil Estate,Screw Cap,Australia,,Black Label Reserve Sauvignon Blanc,$14.99 per bottle,$179.88 per case of 12,Awards: CWSA - China Wine & Spirits Awards 2018,,,750ml,7.1,New South Wales,Sauvignon Blanc,,,,,,,
65,13.0% (2010),Derwent Estate,Screw Cap,Australia,2010*,Chardonnay,$35.20 in any six,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Southern Tasmania,750mL,7.7 (2010),Tasmania,Chardonnay,Dry,Ranked 20 of 39 Chardonnay from Tasmania,,,,,
66,13,Cockfighter's Ghost,Screw Cap,Australia,2016,Pinot Gris 2016,$17.99 per bottle,$102.60 per case of 6,,,,750mL,7.7,,Pinot Gris,Dry,,,,,,
67,11.8%,Ativo,Screw Cap,Australia,Non Vintage*,Spritzed White,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.5,,Riesling Gewurztraminer Pinot Gris,Semi Sweet,,,,,,
68,12.50%,Grosset,Screw Cap,Australia,,Watervale Riesling 2013,$49.99 per bottle,Ranked 12 of 68 Riesling from Clare Valley,,,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,Outstanding,true,
69,12.8%,De Bortoli,Screw Cap,Australia,2016*,Section A5 Chardonnay,$49.40 in any six,$296.40 per case of 6,$51.99 per bottle,"Awards: 2 Trophies - National Capital Wine Show 2014. 2 Gold - National Capital Wine Show 2014, National Capital Wine Show 2013.",Yarra Valley,750mL,7.6,Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Ranked 27 of 59 Chardonnay from Yarra Valley
70,11.5%,Pitchfork,Screw Cap,Australia,2017*,Semillon Sauvignon Blanc,$16.30 in any six,$97.80 per case of 6,$17.10 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,6.9,Western Australia,Semillon Sauvignon Blanc,Dry,Ranked 6 of 18 Sémillon from Margaret River,,,,,
71,10%,Seppelt,Screw Cap,Australia,2018,Great Western Riesling,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Grampians,750mL,5.9,Victoria,Riesling,,,,,,,
72,13,Terindah Estate,Screw Cap,Australia,,Single Vineyard Pinot Gris 2018,$32.00 per bottle,$300.00 per case of 12,,,Bellarine Peninsula,750mL,7.7,Victoria,Pinot Gris,Semi Dry,,,Medium Bodied,,,
73,13%,Watershed,Screw Cap,Australia,2017*,Awakening Single Vineyard Chardonnay,$31.35 in any six,$188.10 per case of 6,$32.99 per bottle,"Awards: 3 Gold - Rutherglen Wine Show 2013, Hobart Wine Show 2013 & 2012",Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
74,12.5% (2014),Tarrawarra Estate,Screw Cap,Australia,2014*,Reserve Chardonnay,$46.99 in any six,$268.20 per case of 6,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2014),Victoria,Chardonnay,Dry,Ranked 11 of 52 Chardonnay from Yarra Valley,,,,,
75,12%,Capel Vale,Screw Cap,Australia,2016*,Debut Sauvignon Blanc Semillon,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.1,Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,
76,13.5%,Yarra Trail,Screw Cap,Australia,2016*,Yarra Valley Chardonnay 2016,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0,Victoria,Chardonnay,,,,,,,
77,13%,Nature's Harvest,Screw Cap,Australia,2018*,Chardonnay,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,,Chardonnay,Dry,,,,,true,
78,,The Point,Screw Cap,Australia,2012*,Semillon Sauvignon Blanc,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,,Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
79,12.5%,Kellermeister,Screw Cap,Australia,2017*,The Wombat General Riesling,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,
80,12.5,De Bortoli,Screw Cap,Australia,2017,Bella Riva King Valley Pinot Grigio 2017,$14.99 per bottle,$85.80 per case of 6,Dry White,,King Valley,750mL,7.4,FRE,Pinot Grigio,Dry,,,,,,
81,13.5%,Narkoojee,Screw Cap,Australia,2017*,Reserve Chardonnay,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,8.0,Victoria,Chardonnay,Dry,Ranked 118 of 161 Chardonnay from Victoria,,,,,
82,12.0% (2015),Lark Hill,Screw Cap,Australia,2015*,Biodynamic Grüner Veltliner,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.1 (2015),Australian Capital Territory,Grüner Veltliner,Dry,,,,,true,
83,,,,,,Unknown,,,,,,,,,,,,,,,,
84,12.5,Riot Wine Co,Can Closure,Australia,,Blanc - Sauvignon Blanc,$9.00 per can,$84.99 per case of 12,,,Adelaide Hills,3L,2.5,South Australia,Sauvignon Blanc,Dry,,true,Light Bodied,,,
85,11.5,Riot Wine Co,Can Closure,Australia,,Cuvée - Sparkling Chardonnay,$9.05 per can,$84.99 per case of 12,,,McLaren Vale,3L,2.3,South Australia,Chardonnay,Dry,,true,Medium Bodied,,,
86,12.5% (2012),Bannockburn,Cork,Australia,2012*,S.R.H Chardonnay,$79.80 in any six,$478.80 per case of 6,$83.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.4 (2012),Victoria,Chardonnay,Dry,Ranked 69 of 137 Chardonnay from Port Phillip,,,,,
87,12.7%,De Bortoli,Screw Cap,Australia,2016*,Estate Grown Yarra Valley Chardonnay,$21.99 per bottle,$125.40 per case of 6,$20.90 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.5,Victoria,Chardonnay,Dry,,,,,,
88,12.5%,Climbing,Screw Cap,Australia,2016*,Chardonnay,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"Awards: Silver - International Wine Challenge - IWC Tranche 2 90 Points 2018, Silver - AWC Vienna International Wine Challenge 2017, Silver - International Wine Challenge Tranche 2 2017, Commended - Decanter World Wine Awards 2017",Orange,750mL,7.4,New South Wales,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
89,13.5% (2015),Fox Creek,Screw Cap,Australia,2015*,Verdelho,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8 (2015),South Australia,Verdelho,Dry,,,,,,
