,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 3,Price Option 4,Wine Body,Organic,Vegan Friendly,Price Option 5
15,13.5,Levantine Hill,Screw Cap,Australia,,Estate Sauvignon Blanc Semillon 2017,$38.00 per bottle,$420.00 per case of 12,,Yarra Valley,750ml,8,,Sauvignon Blanc Semillon,,,,,,,,
16,13%,Tomich Hill,Screw Cap,Australia,2016,Winemakers Reserve Chardonnay 2016,$28.00 per bottle,$168.00 per case of 6,"Awards: Wine Showcase: Gold 93pts, Huon Hooke 91pts, Tony Keys 93pts, Patrick Eckel 91pts",Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,,
17,14%,Ferngrove,Screw Cap,Australia,2017,Black Label Sauvignon Blanc 2017,$20.00 per bottle,$120.00 per case of 6,Ranked 12 of 25 Sauvignon Blanc from South West Australia,,750mL,8.3,,Sauvignon Blanc,,,,,,,,
18,11.7,Fowles Wine,Screw Cap,Australia,Screw Cap,490 Metres Sauvignon Blanc,$13.99 per bottle,$167.88 per case of 12,Dry White,Victoria,750mL,6.9,Victoria,Sauvignon Blanc,Dry,,,,,,,
19,,,,,,Unknown,,,,,,,,,,,,,,,,
20,13.5,Viviana Ferrari Collection,Screw Cap,Australia,,Promenade Chardonnay 2016,$16.00 per bottle,$168.00 per case of 12,"Awards: 2018 The Asian Chardonnay Masters - Bronze
2018 Shanghai International Wine Challenge - Bronze
2018 Ultimate Wine Challenge - 85 points
2018 Decanter World Wine Awards - Commended
2018 Concours International de Lyon - Silver
2018 Chardonnay du Monde - Silver
2018 Sakura Japan Women’s Wine Awards - Gold
2018 China Wine & Spirit Awards Best Value - Gold
2017 Cathay Pacific Hong Kong International Wine & Spirit Awards - Silver (Food Pairing)
Halliday Wine Companion - 85 points",McLaren Vale/Goulburn Valley,750ml,8.0,,Chardonnay,Dry,,,,,,,
21,12,Dai Gum San,Screw Cap,Australia,Screw Cap,Pinot Grigio 2014,$13.95 per bottle,$164.50 per case of 12,Dry White,Limestone Coast,750mL,7,WNE,Pinot Grigio,Dry,,,,,,,
22,12.5%,Artiste,Screw Cap,Australia,2016,Riesling 2016,$24.00 per bottle,$140.00 per case of 6,Awards: 96 points James Halliday,Eden Valley,750mL,7.4,,Riesling,,,,,,,,
23,13.5% (2006),Bidgeebong,Screw Cap,Australia,2006*,Chardonnay,$16.90 in any six,$202.80 per case of 12,$16.90 per bottle,Tumbarumba,750mL,8.0 (2006),New South Wales,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
24,13.0,Lobethal Road,Screw Cap,Australia,,Pinot Gris 2018 750mL,$24.95 per bottle,$299.40 per case of 12,"Awards: 2016 vintage: Trophy for Best Pinot Gris, Gold Award, Sydney Royal Wine Show 2017.
Trophy for Best Pinot Gris, Gold Award, Adelaide Hills Wine Show 2016.
Gold Award, Royal Melbourne Wine Awards 2016.
2013 vintage: Gold Award, Winewise Small Vignerons Awards 2013.
2012 vintage: Trophy for Best Pinot Gris, Gold Award, Adelaide Hills Wine Show 2012.",Adelaide Hills,750mL,7.7,South Australia,Pinot Gris,Dry,,,,Light Bodied,,,
25,11.9,Lobethal Road,Screw Cap,Australia,,Sauvignon Blanc 2018 750mL,$21.95 per bottle,$263.40 per case of 12,"Awards: 2017 vintage: Gold Award, Adelaide Hills Wine Show 2017.
2015 vintage: Gold Award, Adelaide Hills Wine Show 2015.",Adelaide Hills,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,,,Light Bodied,,,
26,11.5%,Glenguin,Screw Cap,Australia,,Vineyard Semillon,$27.50 per bottle,$150.00 per case of 6,,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,,,,Light Bodied,,,
27,13.0,Chapel Hill,Screw Cap,Australia,Screw Cap,il Vescovo McLaren Vale White 2012,$23.99 per pack of ,$287.88 per case of 12,Dry White,Fleurieu,750mL,7.7,FRE,Savagnin Verdelho Ro,White Blends,,,,,,,
28,11.9% (2013),Poets Corner,Screw Cap,Australia,2013*,Unwooded Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7 (2013),New South Wales,Chardonnay,Dry,,,,,,,
29,12.5% (2009),Queen Adelaide,Screw Cap,Australia,2009*,Dry Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.4 (2009),,Riesling,Dry,,,,,,,
30,11.5% (2012),Saltram,Screw Cap,Australia,2012*,Maker's Table Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,6.8 (2012),South Australia,Sauvignon Blanc,Dry,,,,,,,
31,12.5% (2009),Wilson,Screw Cap,Australia,2009*,Riesling,$20.90 in any six,$248.05 per case of 12,$21.99 per bottle,Clare Valley,750mL,7.4 (2009),South Australia,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
32,13.5% (2009),Cassegrain,Screw Cap,Australia,2009*,Verdelho,$15.19 in any six,$180.39 per case of 12,$15.99 per bottle,Hunter Valley,750mL,8.0 (2009),New South Wales,Verdelho,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
33,12.0% (2011),Red Claw,Screw Cap,Australia,2011*,Pinot Gris,$18.00 in any six,$108.00 per case of 6,$18.90 per bottle,Mornington Peninsula,750mL,7.1 (2011),Victoria,Pinot Gris,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
34,10.50%,De Bortoli,Screw Cap,Australia,,Noble One Botrytis Semillon 2009 375mL,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,Riverina,375mL,3.1,New South Wales,Semillon,Sweet,,Ranked 20 of 70 Sémillon from New South Wales,,,,,
35,12.5% (2007),Starvedog Lane,Screw Cap,Australia,2007*,Sauvignon Blanc,$20.89 in any six,$124.05 per case of 6,$21.99 per bottle,Adelaide Hills,750mL,7.4 (2007),South Australia,Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
36,,,,,,Unknown,,,,,,,,,,,,,,,,
37,9.50%,Morris,Cask Closure,Australia,Non Vintage,Dry White 15L,$39.90 each,,,,15L,112,Victoria,White Blend,Dry,,,,,,,
38,13.5% (2012),Rosemount,Screw Cap,Australia,2012*,Blends Chardonnay Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8 (2012),,Semillon Chardonnay,Dry,,,,,,,
39,12.5% (2011),St Huberts,Screw Cap,Australia,2011,Chardonnay,$15.90 in any six,$95.40 per case of 6,$15.90 per bottle,Yarra Valley,750mL,7.4 (2011),Victoria,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
40,11.50%,Howard Park,Cork,Australia,1999,Riesling 1999,$39.99 per bottle,,,Great Southern,750mL,6.8,Western Australia,Riesling,Dry,,,,,,,
41,13.0% (2011),Clyde Park,Screw Cap,Australia,2011*,Pinot Gris,$18.90 in any six,$226.80 per case of 12,$18.90 per bottle,Geelong,750mL,7.7 (2011),Victoria,Pinot Gris,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 19 Pinot Gris from Victoria,,,,
42,13.5% (2001),Giaconda,Cork,Australia,2001*,Chardonnay 2001 Magnum 1.5L,$350.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Beechworth,1.5L,16.0 (2001),Victoria,Chardonnay,Dry,Exceptional,,,,,,
43,13.9% (2006),Giaconda,Screw Cap,Australia,,Nantua Les Deux Chardonnay 2006,$52.25 in any six,$310.15 per case of 6,$54.99 per bottle,,750mL,8.2 (2006),Victoria,Chardonnay,Dry,,Ranked 12 of 26 Chardonnay from Australia,,,,,
44,13.50%,Penfolds,Cork,Australia,,Yattarna Chardonnay 2005,$85.45 in any six,$89.90 per bottle,Ranked 25 of 220 Chardonnay from Australia,Adelaide Hills,750mL,8,South Australia,Chardonnay,Dry,Outstanding,,,,,,
45,12.00%,Seppelt,Screw Cap,Australia,2004,Drumborg Vineyard Riesling 2004,$23.75 in any six,$140.95 per case of 6,$24.99 per bottle,Henty,750mL,7.1,Victoria,Riesling,Dry,,,,,,,
46,13.50%,Howard Park,Cork,Australia,2001,Chardonnay 2001,$54.99 per bottle,,,Great Southern,750mL,8,Western Australia,Chardonnay,Dry,,,,,,,
47,13.0% (2010),Phi,Screw Cap,Australia,2010*,Lusatia Park Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 22 Sauvignon Blanc from Port Phillip,,Yarra Valley,750mL,7.7 (2010),Victoria,Sauvignon Blanc,Dry,,,,,,,
48,12.00%,Jim Barry,Screw Cap,Australia,,Watervale Riesling 2005,$15.19 in any six,$180.39 per case of 12,$15.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,,
49,12.00%,Mitchell,,Australia,,Riesling 2004,$19.90 in any six,$238.79 per case of 12,$21.90 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,Ranked 12 of 28 Riesling from South Australia,,,,,
50,12.50%,Skillogalee,Screw Cap,Australia,2006,Riesling 2006,$24.90 in any six,$141.00 per case of 6,$25.90 per bottle,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,Ranked 12 of 23 Riesling from Clare Valley,,,,,
51,12.0% (2013),Deakin Estate,Screw Cap,Australia,2013*,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.1 (2013),,Sauvignon Blanc,Dry,,,,,,,
52,12.5% (2010),Grant Burge,Screw Cap,Australia,2010*,Barossa Vines Chardonnay,$13.29 in any six,$78.90 per case of 6,$13.99 per bottle,Barossa Valley,750mL,7.4 (2010),South Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
53,13.0% (2008),Devils Creek,Screw Cap,Australia,2008*,Pinot Grigio,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,King Valley,750mL,7.7 (2008),Victoria,Pinot Grigio,,,,,,,,
54,,,,,,Unknown,,,,,,,,,,,,,,,,
55,13.50%,Giaconda,Cork,Australia,1999,Chardonnay 1999,$179.99 per bottle,,,Beechworth,750mL,8,Victoria,Chardonnay,Dry,Exceptional,,,,,,
56,6.0% (2011),Santaro,Screw Cap,Australia,2011*,Moscato,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,,750mL,3.6 (2011),,Moscato,Semi Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
57,11.5% (2014),McGuigan,Screw Cap,Australia,2014*,The Brothers Sauvignon Blanc,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,6.8 (2014),South Australia,Sauvignon  Blanc,Dry,,,,,,,
58,11.7%,Bimbadgen,,Australia,2015,Estate Botrytis Semillon 2015,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,,375mL,3.5,,Semillon,,,,,,,,
59,13%,Rockcliffe,Screw Cap,Australia,2017,Quarram Rocks Sauvignon Blanc 2017,$20.00 per bottle (in case),$240.00 per case of 12,$20.99 per bottle,,750mL,7.7,Western Australia,Sauvignon Blanc,,,,,,,,
60,11.50%,Leogate Estate,,Australia,2010,Reserve Semillon 2010,$18.95 in any six,$224.49 per case of 12,$19.90 per bottle,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,,Awards: Trophy - Boutique Wine Awards 2012 (Best Semillon of Show),Ranked 23 of 42 Sémillon from Lower Hunter,,,,
61,11.5% (2009),Botobolar,Screw Cap,Australia,2009*,Low Preservative Chardonnay,$21.85 in any six,$259.35 per case of 12,$15.90 per bottle,Mudgee,750mL,6.8 (2009),New South Wales,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,true,,
62,13.50%,Savaterre,Cork,Australia,2002,Chardonnay 2002,$84.99 per bottle,,,Beechworth,750mL,8,Victoria,Chardonnay,Dry,Excellent,,,,,,
63,13.50%,Mount Mary,Cork,Australia,1996,Chardonnay 1996,$89.99 per bottle,,,Yarra Valley,750mL,8,Victoria,Chardonnay,Dry,Excellent,,,,,,
64,7.00%,Amberley,Cask Closure,Australia,,Kiss & Tell Moscato Rosa 2L,$9.40 in any six,$56.40 per case of 6,$9.90 each,,2L,11,Western Australia,Moscato,Semi Sweet,,,,,,,
65,11.0% (2012),Parcel 26H,Screw Cap,Australia,2012*,Semillon,$11.40 per case of 6,$1.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,6.5 (2012),New South Wales,Semillon,Dry,,,,,,,
66,10.00%,De Bortoli,Screw Cap,Australia,,Noble One Botrytis Semillon 2003 375mL,$49.99 per bottle,,,Riverina,375mL,3,New South Wales,Semillon,Sweet,Outstanding,,,,,,
67,13.5% (2007),Jones Road,Screw Cap,Australia,2007*,Chardonnay,$22.79 in any six,$135.30 per case of 6,$23.99 per bottle,Mornington Peninsula,750mL,8.0 (2007),Victoria,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
68,12.70%,Saddlers Creek,Screw Cap,Australia,Non Vintage,Botrytis 375mL,$37.05 in any six,$439.85 per case of 12,$38.99 per bottle,,375mL,3.8,New South Wales,Semillon,Sweet,,,,,,,
69,5.00%,Brown Brothers,Cask Closure,Australia,Non Vintage,Still Moscato Cask 2L,$9.90 per pack,,,,2L,7.9,,Moscato,Semi Sweet,,,,,,,
70,12.50%,Penfolds,Cork,Australia,,Yattarna Chardonnay 2001,$99.99 per bottle,Ranked 5 of 18 Chardonnay from Australia,,,750mL,7.4,South Australia,Chardonnay,Dry,,,,,,,
71,13.00%,Bream Creek,Screw Cap,Australia,2014*,Riesling,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,,750mL,7.7,Tasmania,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 37 Riesling from Tasmania,,,,
72,5.5% (2015),Innocent Bystander,Crown Seal,Australia,2015*,Moscato 375mL,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,375mL,3.2 (2015),Victoria,Moscato,Semi Sweet,,,,,,,
73,12.0% (2011),Chrismont,Screw Cap,Australia,2011*,La Zona Arneis,$12.88 in any six,$154.56 per case of 12,$12.88 per bottle,King Valley,750mL,7.1 (2011),Victoria,Arneis,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
74,11.5% (2015),Grant Burge,Screw Cap,Australia,2015*,Lilyfarm Frontignac,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,Barossa Valley,750mL,6.8 (2015),South Australia,Frontignac,Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
75,14.00%,Petaluma,Screw Cap,Australia,,Chardonnay 2011,$51.99 per bottle,$293.25 per case of 6,$49.39 in any six,Adelaide Hills,750mL,8.3,South Australia,Chardonnay,Dry,,,,,,,
76,13.3% (2012),Oakridge,Screw Cap,Australia,2012*,Barkala Ridge Vineyard Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 43 of 75 Chardonnay from Yarra Valley,,Yarra Valley,750mL,7.9 (2012),Victoria,Chardonnay,Dry,,,,,,,
77,5.50% (2013),Peter Lehmann,Crown Seal,Australia,2013*,Princess Moscato,$3.88 in any six,$46.56 per case of 12,$3.88 per bottle,,500mL,2.2 (2013),,Moscato,Semi Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
78,13.0% (2013),Rochecombe,Screw Cap,Australia,2013*,Chardonnay,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,Northern Tasmania,750mL,7.7 (2013),Tasmania,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
79,12.50%,Clonakilla,Screw Cap,Australia,,Riesling 2013,,,,Canberra District,750mL,7.4,Australian Capital Territory,Riesling,Dry,,,,,,,
80,13,Epic Negociants,Screw Cap,Australia,,Epic Negociants Western Australia Classic White,$20.00 per bottle,$240.00 per case of 12,,,750mL,7.7,Western Australia,White Blend,Dry,,,,Light Bodied,,,
81,13.0% (2013),Capel Vale,Screw Cap,Australia,2013*,Debut Chardonnay,$13.88 in any six,$83.28 per case of 6,$13.88 per bottle,,750mL,7.7 (2013),Western Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
82,13.50%,Leeuwin Estate,Cork,Australia,1994,Art Series Chardonnay 1994,$159.99 per bottle,,,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,Exceptional,,,,,,
83,14.50%,Leeuwin Estate,,Australia,2006,Art Series Chardonnay 2006,$123.50 in any six,"$1,482.00 per case of 12",$129.99 per bottle,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,Exceptional,Ranked 19 of 46 Chardonnay from Margaret River,,,,,
84,13.4% (2012),Redgate,Screw Cap,Australia,2012*,Sauvignon Blanc Semillon,$16.95 in any six,$203.40 per case of 12,$17.99 per bottle,Margaret River,750mL,7.9 (2012),Western Australia,Sauvignon Blanc Semillon,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
85,13.50%,Leeuwin Estate,Cork,Australia,1994,Art Series Chardonnay 1994,$159.99 per bottle,,,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,Exceptional,,,,,,
86,13.0% (2010),Butler Crest,Screw Cap,Australia,2010*,Sauvignon Blanc Semillon,$19.99 per bottle,Awards: Best White Blend of Show - Australian Boutique Wine Awards 2011. Silver - Australian Boutique Wine Awards.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2010),Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,,
87,12.4% (2011),Coward & Black,Screw Cap,Australia,2011*,Semillon Sauvignon Blanc,$18.99 in any six,$89.40 per case of 6,$14.90 per bottle,Margaret River,750mL,7.3 (2011),Western Australia,Semillon Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
88,14.5% (2010),Moss Wood,Screw Cap,Australia,2010*,Semillon,$24.60 in any six,$295.20 per case of 12,$25.90 per bottle,Margaret River,750mL,8.6 (2010),Western Australia,Semillon,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
89,13.0% (2010),Butler Crest,Screw Cap,Australia,2010*,Sauvignon Blanc Semillon,$19.99 per bottle,Awards: Best White Blend of Show - Australian Boutique Wine Awards 2011. Silver - Australian Boutique Wine Awards.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2010),Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,,
90,12.50%,Cape Mentelle,Screw Cap,Australia,2012*,Reserve Wallcliffe Sauvignon Blanc Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 28 Sauvignon Blanc from Margaret River,,Margaret River,750mL,7.4,Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,,
91,,,,,,Unknown,,,,,,,,,,,,,,,,
92,12,Millbrook,Screw Cap,Australia,Screw Cap,Vermentino 2013,$17.60 per bottle,$211.20 per case of 12,Dry White,Margaret River,750mL,7.4,FRE,Vermentino,Dry,,,,,,,
93,13.5,Peccavi,Screw Cap,Australia,2012,Chardonnay 2012,$58.00 per bottle,$295.80 per case of 6,,Margaret River,750mL,8,,Chardonnay,,,,,,,,
94,13.2% (2008),Edwards,Screw Cap,Australia,2008,Sauvignon Blanc,$14.90 in any six,$178.80 per case of 12,$14.90 per bottle,Margaret River,750mL,7.8 (2008),Western Australia,Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
95,12,Millbrook,Screw Cap,Australia,Screw Cap,Vermentino 2013,$17.60 per bottle,$211.20 per case of 12,Dry White,Margaret River,750mL,7.4,FRE,Vermentino,Dry,,,,,,,
96,,,,,,Unknown,,,,,,,,,,,,,,,,
97,13.0,Loose Leaf,Screw Cap,Australia,,2015 Chardonnay,$17.99 per bottle,$215.88 per case of 12,,Margaret River,750ml,7.7,,Chardonnay,,,,,,,,
98,12.6% (2015),Rieslingfreak,Screw Cap,Australia,2015*,No.4 Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Eden Valley,750mL,7.5 (2015),South Australia,Riesling,Dry,,,,,,,
99,12.5,Artwine,Screw Cap,Australia,,Wicked Stepmother Fiano,$26.00 per bottle,$156.00 per case of 6,"Awards: Gold Medal Australia Alternative Varieties Wine Show 2017
Gold Medal Small Vigerons Awards 2017
High Silver (4.5 Stars) Winestate Magazine 2017
Silver Medal Royal Sydney Wine Show 2017
Silver Medal Rutherglen Wine Show 2017
Bronze Medal Clare Valley Wine Show 2017
Bronze Medal Royal Adelaide Wine Show 2017",Clare Valley,750ml,7.4,South Australia,Fiano,Dry,,,,,,true,
100,12.5%,Tyrell's,,Australia,2015,Vat 47 Chardonnay 2015,$66.99 per bottle,,,Hunter Valley,750mL,7.4,,Chardonnay,,,,,,,,
101,12.0% (2013),Temple Bruer,Screw Cap,Australia,2013*,Chenin Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Langhorne Creek,750mL,7.1 (2013),South Australia,Chenin Blanc,Dry,,,,,true,,
102,13.0% (2013),Watson Family Vineyards,Screw Cap,Australia,2013*,Semillon Sauvignon Blanc,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Margaret River,750mL,7.7 (2013),Western Australia,Semillon Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
103,12.5% (2016),Jericho,Screw Cap,Australia,2016*,Adelaide Hills Fiano,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 15 Fiano from South Australia,Adelaide Hills,750mL,7.4 (2016),South Australia,Fiano,Dry,,,,,,,
104,12.5% (2011),Stefano Lubiana,Screw Cap,Australia,2011*,Collina Chardonnay,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,750mL,7.4 (2011),Tasmania,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
105,13.0% (2013),Watson Family Vineyards,Screw Cap,Australia,2013*,Semillon Sauvignon Blanc,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,Margaret River,750mL,7.7 (2013),Western Australia,Semillon Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
