,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Region,Price Option 5,Vegan Friendly,Price Option 6
10,14.7%,Jacob's Creek,Screw Cap,Australia,2016*,Double Barrel Shiraz,$19.95 in any six,$119.70 per case of 6,$19.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.7,South Australia,Shiraz,Full Bodied,Dry,,Ranked 59 of 108 Shiraz from Barossa Valley,Barossa,,,
11,14.5%,Balthazar of The Barossa,Screw Cap,Australia,2013*,Shiraz,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,Awards: Silver Decanter Asia Wine Awards 2018 (2013 vintage),750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,,,
12,13%,Yering Station,Screw Cap,Australia,2018*,Little Yering Pinot Noir,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,Victoria,,,
13,14%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Shiraz Grenache 2017,Online Offer$17.90 per bottle,$28.99 per bottle,$165.60 per case of 6,$27.60 in any six,750mL,8.8,South Australia,Shiraz Grenache,,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,,,
14,13.9%,Jacob's Creek,Screw Cap,Australia,2018*,Classic Pinot Noir,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,,Pinot Noir,Light Bodied,Dry,,,South East Australia,,,
15,14.5%,St Hallett,Screw Cap,Australia,2018*,Gamekeeper's Shiraz,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Barossa Valley,,,
16,13.5%,Cow Bombie,Screw Cap,Australia,2017*,Shiraz,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Western Australia,Shiraz,Full Bodied,Dry,,,Margaret River,,,
17,14.5%,Penfolds,Screw Cap,Australia,2015*,Koonunga Hill 76 Shiraz Cabernet 2015,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,,,,,,,
18,14.8%,St Hugo,Screw Cap,Australia,2010,Shiraz 2010,$40.85 in any six,$242.49 per case of 6,$42.99 per bottle,"Awards: Decanter World Wine Awards, 2015: Bronze 
Challenge International du Vin, 2014: Bronze 
Concours Mondial de Bruxelles, 2014: Grand Gold 
Decanter World Wine Awards, 2014: Commended 
Finger Lakes International Wine Competition, 2014: Silver",750ml,8.8,South Australia,Shiraz,,,,,Barossa  Valley,,,
19,13.0%,Hardys,Screw Cap,Australia,2016*,Stamp of Australia Shiraz 1L,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1L,10,South Australia,Shiraz,Full Bodied,Dry,,,,,,
20,14.5%,St Hugo,Screw Cap,Australia,,Cabernet Sauvignon 2012,$49.99 per bottle,$285.00 per case of 6,$47.50 in any six,Ranked 3 of 54 Cabernet Sauvignon from Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
21,13.5,Woodside Park,Screw Cap,Australia,2017,Pinot Noir 2017,$14.90 per bottle,$89.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,,,Adelaide Hills,,,
22,13.5%,19 Crimes,Screw Cap,Australia,2017*,Red Blend,$10.40 in any six,$59.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,,Red Blend,,Dry,,,South Eastern Australia,,,
23,14.1%,Jacob's Creek,Screw Cap,Australia,2017*,Reserve Cabernet Sauvignon,$11.95 in any six,$71.70 per case of 6,$11.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 10 of 25 Cabernet Sauvignon from South Australia,Limestone Coast,,,
24,13.5%,Secret Selection,Screw Cap,Australia,2016*,Single Vineyard Yarra Valley Pinot Noir 2016,Online Offer$25.90 per bottle,$35.15 in any six,$211.20 per case of 6,$36.99 per bottle,750mL,8,,Pinot Noir,,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
25,14.5%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Shiraz 2017,Online Offer$14.90 per bottle,$39.99 per bottle,$456.00 per case of 12,$38.00 in any six,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,McLaren Vale,,,
26,14.50%,Penfolds,Cork,Australia,2012,Grange St Louis Decanter 2012,"$1,999.00 per pack",,,,750mL,8.6,South Australia,,Full Bodied,Dry,,,,,,
27,14.5%,Penfolds,Screw Cap,Australia,2016*,Bin 2 Shiraz Mataro,$39.99 per bottle,$228.00 per case of 6,$38.00 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz Mataro,,Dry,,,,,,
28,14%,Taylors,Screw Cap,Australia,2017*,Estate Merlot,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,Awards: 2 Blue Gold - Sydney International Wine Competition 2013 & 2014. Gold - Mondial du Merlot 2013,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,,,
29,15%,Bowen Estate,Cork,Australia,2016*,Cabernet Sauvignon,$29.99 per bottle,$341.88 per case of 12,$28.49 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,Ranked 2 of 21 Cabernet Sauvignon from Coonawarra,Coonawarra,,,
30,14.5%,d'Arenberg,Screw Cap,Australia,2016*,The Footbolt Shiraz,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Ranked 30 of 107 Shiraz from McLaren Vale,McLaren Vale,,,
31,13.5%,Secret Selection,Screw Cap,Australia,2017,South Australian Rosé 2017,Online Offer$11.00 per bottle,$23.80 in any six,$106.80 per case of 6,$24.99 per bottle,750mL,8,South Australia,Rose,,,,,,,,
32,14.5%,Wolf Blass,Screw Cap,Australia,2016*,Grey Label Shiraz,$27.90 in any six,$167.40 per case of 6,$29.40 per bottle,"Awards: Trophy and Gold - HKIWSC 2017, Double Gold - CWSA Best Value 2017, Gold - International Wine Challenge 2016",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,Ranked 5 of 107 Shiraz from McLaren Vale,,
33,14.5%,Penfolds,Screw Cap,Australia,,Bin 128 Shiraz 2016,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,,750mL,8.6,South Australia,Shiraz,,,,,Coonawarra,,,
34,14.5%,Pepperjack,Screw Cap,Australia,2016*,Shiraz Cabernet,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,Awards: Great Australian Red Silver; Canberra Wine Show Silver; Hobart Wine Show Bronze,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,,,
35,13.5%,Hardys,Screw Cap,Australia,2018,Stamp of Australia Cabernet Sauvignon 1L,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1L,10.5,,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
36,15%,Pepperjack,Screw Cap,Australia,2013,Shiraz 2013,$27.50 in any six,$165.00 per case of 6,$28.90 per bottle,"Awards: Decanter World Wine Awards, 2015: Commended",750mL,8.9,South Australia,Shiraz,,,,,Barossa Valley,,,
37,13.5%,Wolf Blass,Screw Cap,Australia,2017*,Eaglehawk Cabernet Sauvignon,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
38,13.5%,De Bortoli,Screw Cap,Australia,2018*,Windy Peak Pinot Noir,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,,true,
39,14.50%,Penfolds,Cork,Australia,2008,Bin 95 Grange Shiraz 2008,$845.50 in any six,"$5,073.00 per case of 6",$890.00 per bottle,Ranked 2 of 321 Shiraz from South Australia,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
40,14.50%,Penfolds,Screw Cap,Australia,2010,Bin 707 Cabernet Sauvignon 2010,$569.10 in any six,"$3,414.60 per case of 6",$599.00 per bottle,Awards: Gold - London International Wine Competition 2013,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,Ranked 24 of 174 Cabernet Sauvignon from South Australia,,,,
41,14.5%,John Duval,Screw Cap,Australia,2013,Entity Shiraz 2013,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"Awards: Dan Berger's International Wine Competition, 2016: Silver 
Decanter World Wine Awards, 2016: Bronze 
International Wine Challenge, 2016: Silver 
The TEXSOM International Wine Awards, 2016: Silver",750mL,8.6,South Australia,Shiraz,,,,,Barossa  Valley,,,
42,13.00%,De Bortoli,Cask Closure,Australia,Non Vintage,Premium Shiraz Cabernet Cask 4L,$27.90 per case of 2,$18.95 each,,,4L,41.03,,Shiraz Cabernet,,Dry,,,,,,
43,14.00%,Brown Brothers,Cask Closure,Australia,Non Vintage,Milawa Dry Red Cask 10L,$61.99 each,,,,10L,110,Victoria,Red Blend,,Dry,,,,,,
44,13.5%,Wolf Blass,Screw Cap,Australia,2017*,Red Label Cabernet Merlot,$6.95 in any six,$35.70 per case of 6,$6.95 per bottle,Awards: Gold - Wrest Point Royal Hobart Wine Show 2013,750mL,8.0,South Australia,Cabernet Merlot,Medium Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
45,13.5%,McWilliams,Screw Cap,Australia,2017*,On The Grapevine Shiraz,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,,,
46,13.5%,Yellow Tail,Screw Cap,Australia,2017*,Shiraz,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,,,
47,13%,Molly's Cradle,Screw Cap,Australia,2017,Rosé 2018,Delivery Offer$59.00 per case of 6,$18.00 per bottle,$108.00 per case of 6,Dry Red,750mL,7.7,New South Wales,Rosé,Light Bodied,,,Ranked 60 of 75 Shiraz from Lower Hunter,Hunter Valley,,,
48,13.5%,Jamiesons Run,Screw Cap,Australia,2017*,Limestone Coast Cabernet Sauvignon,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Limestone Coast,,,
49,14.5%,Riddoch,Screw Cap,Australia,2016*,Cabernet Sauvignon,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Coonawarra,,,
50,14%,Forester Estate,Screw Cap,Australia,2016*,Lifestyle Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"Awards: Gold Medals - Royal Melbourne Wine Show 2016, Margaret River Wine Show 2016, Wine Show of WA Mount Barker 2016",750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,,,
51,12.5%,Bowler's Run,Screw Cap,Australia,2018*,Shiraz,$2.85 in any six,$17.10 per case of 6,$2.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Victoria,Shiraz,Full Bodied,Dry,,,,,,
52,14.2%,Serafino,Screw Cap,Australia,2017,Sorrento Shiraz,$17.90 in any six,$107.40 per case of 6,$18.90 per bottle,"Awards: 2 Trophies - McLaren Vale Wine Show 2016, McLaren Vale Wine Show 2015 (Best Shiraz One Year Old or Younger, Best Shiraz). 2 Gold Medals - McLaren Vale Wine Show 2016 and Royal Melbourne Wine Show 2015.",750mL,8.4,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,,,
53,13%,Freycinet,Screw Cap,Australia,2016*,Pinot Noir,$65.60 in any six,$787.20 per case of 12,$68.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Tasmania,Pinot Noir,Light Bodied,Dry,Excellent,,East Coast Tasmania,,,
54,13.5%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Grenache Rosé 2017,Online Offer$9.90 per bottle,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,750mL,8,South Australia,Rose,Light Bodied,Dry,,,McLaren Vale,,,
55,13.5%,Wolf Blass,Screw Cap,Australia,2018*,Eaglehawk Shiraz,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,,,,
56,13.5%,Ten Minutes by Tractor,Screw Cap,Australia,2016*,Estate Pinot Noir,$49.40 in any six,$296.40 per case of 6,$51.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,Ranked 59 of 77 Pinot Noir from Mornington Peninsula,Mornington Peninsula,,,
57,14.5%,Grant Burge,Screw Cap,Australia,2016*,Barossa Ink Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,,Dry,,,Barossa,,,
58,13.5%,Paringa Estate,Screw Cap,Australia,2017*,PE Pinot Noir,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,Mornington Peninsula,,,
59,14.5%,Cat Amongst The Pigeons,Screw Cap,Australia,2017*,Cabernet Sauvignon,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"Awards: Blue Gold - Sydney International Wine Competition 2018, Gold Medal - Barossa Wine Show 2017
Gold San Francisco Wine Show 2018",750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,,,
60,12.5%,Jacob's Creek,Screw Cap,Australia,2018*,Shiraz Rosé,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,,Shiraz,Light Bodied,Dry,,,,,,
61,13.5%,Jamiesons Run,Screw Cap,Australia,2017*,Billy's Shadow Shiraz,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,,Shiraz,Full Bodied,Dry,,,,,,
62,13%,Yering Station,Screw Cap,Australia,2017*,Yarra Pinot Noir,$25.60 in any six,$153.60 per case of 6,$26.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,Yarra Valley,,,
63,13.8%,George Wyndham,Screw Cap,Australia,2017*,Bin 888 Cabernet Merlot,$7.55 in any six,$45.30 per case of 6,$7.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,New South Wales,Cabernet Merlot,Medium Bodied,Dry,,,,,,
64,,,,,,Unknown,,,,,,,,,,,,,,,,
65,13.5%,Cradle,Screw Cap,Australia,Screw Cap,Shiraz 2017,Delivery Offer$99.00 per case of 6,$29.00 per bottle,$174.00 per case of 6,Dry Red,750mL,8.0,New South Wales,Shiraz,Full Bodied,Shiraz,,,Hunter Valley,,,
66,14%,Taylors,Screw Cap,Australia,2017*,Estate Pinot Noir,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,South Australia,Pinot Noir,Light Bodied,Dry,,,,,,
67,14.5%,Penfolds,Screw Cap,Australia,2013,Bin 407 Cabernet Sauvignon 2013,$109.30 in any six,$655.80 per case of 6,$114.99 per bottle,,750mL,8.3,,Caberent Sauvignon,,,Excellent,,,,,
68,5%,Gossips,Screw Cap,Australia,2017*,Sweet Lips Pink Moscato,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,3.0,,Moscato,Light Bodied,Semi Sweet,,,,,,
69,13%,Deep Woods,Screw Cap,Australia,2018*,Estate Harmony Rosé,$12.35 in any six,$74.10 per case of 6,$12.99 per bottle,"Awards: 2 Gold Medals- Qantas Wine Show of WA Mt Barker 2015, Margaret River Wine Show 2015",750mL,7.7,Western Australia,Tempranillo Merlot Syrah,Light Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,,,
70,0.50%,Edenvale,Screw Cap,Australia,,Shiraz - Low in alcohol,$8.55 in any six,$50.70 per case of 6,$8.99 per bottle,,750mL,0.3,,Low alcoholic wine,Full Bodied,Dry,,,,,,
71,13.5% (2016),Dominique Portet,Screw Cap,Australia,2016*,Fontaine Rosé,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2016),Victoria,Merlot Shiraz Cabernet Sauvignon,Light Bodied,Dry,,Ranked 76 of 83 Cabernet Sauvignon from Australia,Yarra Valley,,,
72,13.5%,Yellow Tail,Screw Cap,Australia,2018*,Merlot,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,,Merlot,Medium Bodied,Dry,,,,,,
73,13.5%,Secret Selection,,Australia,2012,Western Australia Cabernet Durif 2012,Online Offer$19.90 per bottle,$39.90 in any six,$478.80 per case of 12,$41.99 per bottle,750mL,8,Western Australia,Cabernet Durif,,Dry,,,,,,
74,14.5%,Henschke,Screw Cap,Australia,2016,Henry's Seven Shiraz Grenache Viognier,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz Grenache Viognier,,Dry,,,Barossa Valley,,,
75,12.5%,6Ft6,Screw Cap,Australia,2017*,Pinot Noir,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Victoria,Pinot Noir,Light Bodied,Dry,,Ranked 10 of 19 Pinot Noir from Geelong,Geelong,,true,
76,13.5%,Wolf Blass,Screw Cap,Australia,2017*,Red Label Shiraz Cabernet,$6.95 in any six,$35.70 per case of 6,$6.95 per bottle,Awards: Gold Medal - Royal Perth Wine Show 2014,750mL,8.0,,Shiraz Cabernet,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
77,,,,,,Unknown,,,,,,,,,,,,,,,,
78,9%,Lindeman's,Screw Cap,Australia,2017*,Early Harvest Shiraz,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.3,Victoria,Shiraz,Full Bodied,Dry,,,,,,
79,15.0% (2015),Whitebox,Screw Cap,Australia,2015*,Shiraz,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,9 (2015),Victoria,Shiraz,Full Bodied,Dry,,,Heathcote,,,
80,14.5%,Taylors,Screw Cap,Australia,2017*,Reserve Parcel Shiraz,$22.99 per bottle,$131.40 per case of 6,$21.90 in any six,"Awards: Double Gold - China Wine & Spirits Awards 2014. 6 Gold - New Zealand International Wine Show 2014, Sommelier Challenge International Wine Competition 2014, Mundus Vini International Wine Awards 2014, San Diego International Wine Competition 2014, Concours, Trophy - Clare Valley Wine show",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,,,
81,14.0%,Fifth Leg,Screw Cap,Australia,2017*,Red,$12.90 in any six,$77.40 per case of 6,$13.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Western Australia,Cabernet Shiraz Merlot,,Dry,,,,,,
82,14.50%,Penfolds,Screw Cap,Australia,,Bin 169 Cabernet Sauvignon 2010,$350.00 per bottle,,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Coonawarra,,,
83,13.8%,Toolangi,,Australia,2016,Pinot Noir 2016,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,,750mL,8.2,Victoria,Pinot Noir,,,,,Yarra Valley,,,
84,14%,Vasse Felix,,Australia,2015*,Cabernet Sauvignon,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Awards: Gold - Margaret River Wine Show 2012,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Ranked 8 of 44 Cabernet Sauvignon from Margaret River,,
