,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Price Option 3,Region,State,Wine Style,Price Option 4,Wine Body,Organic,Price Option 5,Vegan Friendly,Langtons Classified,Price Option 6
25,4.5%,Wirra Wirra,Crown Seal,Australia,2017*,Mrs Wigley Moscato 500mL,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,500mL,1.8,Moscato,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,South Australia,Semi Sweet,,,,,,,
26,11.00%,Jacob's Creek,Screw Cap,Australia,,Steingarten Riesling 2010,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,750mL,6.5,Riesling,,Eden Valley,South Australia,Dry,,,,,,,
27,13%,Flametree,Screw Cap,Australia,2017*,Chardonnay,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,Ranked 18 of 61 Chardonnay from Margaret River,,,,,,
28,13%,Taylors,Screw Cap,Australia,2016*,Discoveries Chardonnay,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,750mL,7.7,Chardonnay,"Awards: 1 Gold Medals - The Blobal Chardonnay Master 2016. 3 Silver Medals - International Wine Challenge Tranche2, Japan Wine Challenge 2016, San Diego International Wine & Spirits Challenge 2016.",Limestone Coast,South Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
29,13.0%,Bird In Hand,Screw Cap,Australia,2018,Riesling,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,750mL,7.7,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,South Australia,Dry,Ranked 16 of 48 Riesling from Mount Lofty Ranges,,,,,,
30,12.0%,Goldman Wines,Screw Cap,Australia,,Bee Eater Sauvignon Blanc,$17.99 per bottle,$77.50 per case of 6,,750mL,7.1,Sauvignon Blanc,,Orange,New South Wales,Semi Dry,,Light Bodied,true,,,,
31,12.5% (2013),Mojo,Screw Cap,Australia,2013*,Sauvignon Blanc,$11.30 in any six,$67.80 per case of 6,$11.90 per bottle,750mL,7.4 (2013),Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Australia,Dry,,,,,,,
32,12.5%,De Bortoli,Screw Cap,Australia,2015*,Villages Yarra Valley Chardonnay,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,750mL,7.4,Chardonnay,Awards: 2 Gold Medals - International Wine Competition 2016 and Brisbane Wine Show 2016.,Yarra Valley,Victoria,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
33,12.50%,Renmano,,Australia,,Colombard Chardonnay 2L,$51.30 per case of 6,$8.99 each,,2L,20,,,,,Dry,,,,,,,
34,12.5%,Mornington Estate,Screw Cap,Australia,2017*,Pinot Gris,$20.90 in any six,$227.88 per case of 12,$21.99 per bottle,750mL,7.4,Pinot Gris,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Victoria,Dry,,,,,,,
35,11.5%,Robert Oatley,Screw Cap,Australia,2017,Signature Series Riesling,$18.80 per bottle,$107.40 per case of 6,$17.90 in any six,750mL,6.8,Riesling,"Awards: Gold Medal & Trophy -  National Wine Show of Australia 2018
Gold Medal & Trophy - Best Riesling in show - Royal Queensland Wine Show 2016",Great Southern,Western Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
36,12.5%,Sidewood,Screw Cap,Australia,2017*,Chardonnay,$19.99 per bottle,$114.00 per case of 6,$19.00 in any six,750mL,7.4,Chardonnay,"Awards: 3 Gold Medals - Adelaide Hills Wine Show 2012, Catavinum Spain, Tastings USA",Adelaide Hills,South Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 5 of 38 Chardonnay from Adelaide Hills,,,
37,,,,,,Unknown,,,,,,,,,,,,,,,,,
38,13% (2018),6Ft6,Screw Cap,Australia,2017*,Pinot Gris,$17.90 in any six,$107.40 per case of 6,$18.80 per bottle,750mL,7.7 (2018),Pinot Gris,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,Victoria,Dry,,,,,true,,
39,12%,Cleanskin,Screw Cap,Australia,2018*,No 65 Margaret River Sauvignon Blanc Semillon,$7.59 in any six,$45.54 per case of 6,$7.99 per bottle,750mL,7.1,Sauvignon Blanc Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
40,11.2% (2013),Rhythm Stick Wines,Screw Cap,Australia,2013*,Red Robin Riesling,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,750mL,6.5 (2013),Riesling,"Awards: 1 Trophy - Sydney Royal Wine Show 2012. 2 Gold - Sydney Royal Wine Show 2012, Canberra International Riesling Challenge",Clare Valley,South Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
41,13.6%,Ashbrook Estate,Screw Cap,Australia,2016*,Chardonnay,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,750mL,8.1,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
42,13.5%,Geoff Weaver,Screw Cap,Australia,2016*,Sauvignon Blanc,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,750mL,7.8,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,Dry,,,,,,,
43,13.4%,Tuck's NOW,Screw Cap,Australia,,Pinot Gris 2017,$23.00 per bottle,$130.00 per case of 6,,750mL,7.7,Pinot Gris,,Mornington Peninsula,Victoria,Dry,,Medium Bodied,,,true,,
44,12,Craftsman,Screw Cap,Australia,2018*,Zesty and Crisp Riesling,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,750mL,7.1,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,,Dry,,,,,,,
45,12.8%,Helen's Hill,Screw Cap,Australia,2016*,Chardonnay,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,750mL,7.6,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,Dry,Ranked 46 of 71 Chardonnay from Yarra Valley,,,,,,
46,10.50%,Banrock Station,Screw Cap,Australia,,Fruit Fusion Pineapple and Coconut,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,750mL,6.2,Fruit Wine,,,,,,,,,,,
47,13.00%,Elephant In The Room,Can Closure,Australia,2017,Chardonnay Cans 250mL,$18.99 per pack of 4,$109.99 per case of 24,$4.99 per can (in store),250mL,2.6,Chardonnay,,,,Dry,,,,,,,
48,,,,,,Unknown,,,,,,,,,,,,,,,,,
49,13.5% (2016),Nugan Estate,Screw Cap,Australia,2016*,Chardonnay,$17.09 in any six,$205.08 per case of 12,$17.99 per bottle,750mL,8 (2013),Chardonnay,Awards: 2016 James Halliday Australian Wine Companion - 5 Start Winery 2016 James Suckling USA (former Wine Spectator Edition - 91 Points (2015 vintage) 2016 Mundus vini (Germany - Gold (2015 vintage) 2016 International Wine and SVR Competition - Silver (2015 vin,King Valley,Victoria,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
50,13.0%,Margan,Screw Cap,Australia,2018,Verdelho,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,750mL,7.7,Verdelho,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,New South Wales,Dry,,,,,,,
51,13%,Nepenthe,Screw Cap,Australia,2017*,Chardonnay,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,Dry,,,,,,,
52,12.5%,Henschke,Screw Cap,Australia,2017,Green's Hill Riesling,$29.50 in any six,$177.00 per case of 6,$30.99 per bottle,750mL,7.4,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,Dry,Ranked 3 of 79 Riesling from Mount Lofty Ranges,,,,,,
53,13%,Innocent Bystander,Screw Cap,Australia,2017*,Chardonnay,$20.89 in any six,$125.40 per case of 6,$21.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,Dry,,,,,,,
54,13.5,Cat Amongst The Pigeons,Screw Cap,Australia,2018*,Chardonnay,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,750mL,8,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,South Australia,Dry,,,,,,,
55,11%,In Top Company,,Australia,Non Vintage*,Pinot Grigio Cask 2L,$8.99 each,$34.20 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2L,17.0,Pinot Grigio,,,,,,,,,,,
56,,,,,,Unknown,,,,,,,,,,,,,,,,,
57,13%,Printhie,Screw Cap,Australia,2017*,Mountain Range Chardonnay,$16.15 in any six,$193.80 per case of 12,$19.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,New South Wales,Dry,,,,,,,
58,13%,Voyager Estate,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,750mL,7.7,Sauvignon Blanc Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
59,12.5% (2016),Pfeiffer,Screw Cap,Australia,2016*,Riesling,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,750mL,7.4 (2016),Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,Victoria,Dry,,,,,,,
60,,,,,,Unknown,,,,,,,,,,,,,,,,,
61,13%,Josef Chromy,Screw Cap,Australia,2017*,Pepik Chardonnay,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Tasmania,Dry,,,,,,,
62,13.0% (2015),Hay Shed Hill,Screw Cap,Australia,2015*,White Label Chardonnay,$13.20 in any six,$79.20 per case of 6,$13.88 per bottle,750mL,7.7 (2015),,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
63,13%,Byron & Harold,Screw Cap,Australia,2017*,Wandering Lane Chardonnay,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Western,Western Australia,Dry,,,,,,,
64,12.5% (2016),Tyrrell's,Screw Cap,Australia,2016*,Old Winery Semillon Sauvignon Blanc,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,750mL,7.4 (2016),Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
65,12.5,Baily & Baily,Screw Cap,Australia,2018*,Monkey's Cousin Pinot Grigio,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,750mL,7.4,Pinot Grigio,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
66,11%,Mount Majura,Screw Cap,Australia,2018,Pinot Gris,$21.85 in any six,$262.80 per case of 12,$22.99 per bottle,750mL,6.5,Pinot Gris,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,Australian Capital Territory,Dry,,,,,,,
67,13.2%,Ingram Road,Screw Cap,Australia,2018*,Yarra Valley Pinot Grigio,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,750mL,7.8,Pinot Grigio,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,,Ranked 7 of 16 Pinot Grigio from Victoria,,,,,,
68,12.5% (2017),Moss Wood,Screw Cap,Australia,2017*,Ribbon Vale Semillon Sauvignon Blanc,$32.29 in any six,$387.48 per case of 12,$33.99 per bottle,750mL,7.4 (2017),Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
69,12.5%,Seppelt,Screw Cap,Australia,2017*,Drumborg Vineyard Chardonnay,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,750mL,7.4,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Henty,Victoria,Dry,Ranked 46 of 99 Chardonnay from Victoria,,,,,,
70,8.0% (Non Vintage),Sweet Lips,Screw Cap,Australia,Non Vintage*,Mango Elderflower & Passionfruit,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,4.7 (Non Vintage),Infused White Wine,,,,Sweet,,,,,,,
71,11.5,Baily & Baily,Screw Cap,Australia,2018*,Legs Eleven Sauvignon Blanc,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,750mL,6.8,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
72,14.0% (2015),Dalwhinnie,Screw Cap,Australia,2015*,Moonambel Chardonnay,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,750mL,8.3 (2015),Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,Victoria,Dry,Ranked 173 of 194 Chardonnay from Victoria,,,,,,
73,13.1% (2013),Bethany,Screw Cap,Australia,2013*,Semillon,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,750mL,7.7 (2013),Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,South Australia,Dry,,,,,,,
74,9.50%,Sunnyvale,Cask Closure,Australia,Non Vintage,Fruity Lexia Cask 4L,$13.99 each,$26.60 per case of 2,,4L,30,White Blend,,,,Sweet,,,,,,,
75,10.5% (Non Vintage),Banrock Station,Screw Cap,Australia,Non Vintage*,Fruit Fusion White With Tropical Fruits,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,750mL,6.2 (Non Vintage),Fruit Wine,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
76,12.5%,Wolf Blass,Screw Cap,Australia,2016*,White Label Chardonnay,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,750mL,7.4,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Piccadilly Valley,South Australia,Dry,,,,,,,
77,9.5% (2017),Grant Burge,Screw Cap,Australia,2017*,Moscato,$13.29 in any six,$79.74 per case of 6,$13.99 per bottle,750mL,5.6 (2015),Moscato,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,South Australia,Semi Sweet,,,,,,,
78,12.3,Eden Hall,Screw Cap,Australia,Screw Cap,Gruner Veltliner,$35.00 per bottle,$210.00 per case of 6,Dry White,750mL,7.1,Gruner Veltliner,,Eden Valley,FRE,Dry,,,,,,,
79,12.5%,Grosset,Screw Cap,Australia,,Polish Hill Riesling 2014,$69.99 per bottle,Ranked 20 of 60 Riesling from Clare Valley,,750mL,7.4,Riesling,,Clare Valley,,Dry,,,,,,,
80,12.5%,Kilikanoon,Screw Cap,Australia,2016*,Morts Block Riesling,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,750mL,7.4,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,South Australia,Dry,,,,,,,
81,12.50%,Yalumba,Screw Cap,Australia,2017,Premium Pinot Grigio Cask 2L,$12.99 each,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2L,20,Pinot Gris & Grigio,,,,,,,,,true,,
82,13.5%,Blass,Screw Cap,Australia,2015*,Noir Chardonnay,$20.80 in any six,$124.80 per case of 6,$21.88 per bottle,750mL,8.0,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,Dry,,,,,,,
83,12%,Hay Shed Hill,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,750mL,7.1,Sauvignon Blanc Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,Ranked 14 of 20 Sauvignon Blanc from Margaret River,,,,,,
84,13.5%,Giant Steps,Screw Cap,Australia,2017*,Sexton Vineyard Chardonnay,$49.40 in any six,$296.40 per case of 6,$51.99 per bottle,750mL,8.0,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,Dry,Ranked 23 of 47 Chardonnay from Yarra Valley,,,,,,
85,12.5% (2016),Tatachilla,Screw Cap,Australia,2016*,Growers Semillon Sauvignon Blanc,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,750mL,7.4 (2016),Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,South Australia,Dry,,,,,,,
86,12%,Baily & Baily,Screw Cap,Australia,2018*,Venture Series Riesling,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,750mL,7.1,Riesling,Awards: Trophy / Top Gold - Trophy for Best Dry White Other - 2018 Open Riverina Wine Show,Clare Valley,South Australia,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
87,13.5,Baily & Baily,Screw Cap,Australia,2018*,Venture Series Chardonnay,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,750mL,8,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
88,13,Woodlands Ridge,Screw Cap,Australia,2016,Vineyard Sauvignon Blanc 2016,Delivery Offer$96.00 per case of 12,$16.99 per bottle,$203.88 per case of 12,750ml,7.7,Sauvignon Blanc,,Adelaide Hills,,,,,,,,,
89,12%,Warburn,Cask Closure,Australia,Non Vintage*,Premium Semillon Sauvignon Blanc Cask 4L,$13.99 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,38.0,Semillon Sauvignon Blanc,,,,Dry,,,,,,,
