,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Vegan Friendly,Wine Body
14,10.50%,De Bortoli,Cork,Australia,,Noble One Botrytis Semillon 2000 375mL,$49.99 per bottle,,,,Riverina,375mL,3.1,New South Wales,Semillon,Dry,,,
15,12.5% (2013),Wirra Wirra,Screw Cap,Australia,2013*,The Lost Watch Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 44 of 79 Riesling from Mount Lofty Ranges,,,Adelaide Hills,750mL,7.4 (2013),South Australia,Riesling,Dry,,,
16,11.5% (2011),Leo Buring,Screw Cap,Australia,2011*,Leopold DWO21 Riesling,$29.88 in any six,$179.28 per case of 6,$29.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Derwent Valley,750mL,6.8 (2011),Tasmania,Riesling,Dry,,,
17,10.5% (2014),Château Tanunda,Screw Cap,Australia,2014*,Anniversary Riesling,$10.88 in any six,$65.28 per case of 6,$10.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,6.2 (2014),South Australia,Riesling,Dry,,,
18,11.5% (2011),Leo Buring,Screw Cap,Australia,2011*,Leopold DWO21 Riesling,$29.88 in any six,$179.28 per case of 6,$29.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Derwent Valley,750mL,6.8 (2011),Tasmania,Riesling,Dry,,,
19,12.0%,Lindeman's,Screw cap,Australia,2017*,Bin 95 Sauvignon Blanc 1L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,1L,9.5,,Sauvignon Blanc,,,,
20,11.5% (2014),O'Leary Walker,Screw Cap,Australia,2014*,Blue Cutting Road Semillon Sauvignon Blanc,$10.88 in any six,$65.28 per case of 6,$10.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.8 (2014),South Australia,Semillon Sauvignon Blanc,Dry,,,
21,13.0% (2015),Red Claw,Screw Cap,Australia,2015*,Chardonnay,$16.88 in any six,$101.28 per case of 6,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7 (2015),Victoria,Chardonnay,Dry,Ranked 39 of 44 Chardonnay from Mornington Peninsula,,
22,13.00%,Penfolds,Screw Cap,Australia,2006,Reserve Bin A Chardonnay 2006,$104.50 in any six,$627.00 per case of 6,$110.00 per bottle,Ranked 2 of 18 Chardonnay from Adelaide Hills,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,
23,13.2%,Shark Point,Screw Cap,Australia,2018*,Mornington Chardonnay,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.8,Victoria,Chardonnay,,,,
24,13.00%,Penfolds,Screw Cap,Australia,2006,Reserve Bin A Chardonnay 2006,$104.50 in any six,$627.00 per case of 6,$110.00 per bottle,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,
25,13.5% (2014),Cockfighter's Ghost,Screw Cap,Australia,2014*,Verdelho,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Hunter Valley,750mL,8.0 (2014),New South Wales,Verdelho,Dry,,,
26,13.5% (2014),Cockfighter's Ghost,Screw Cap,Australia,2014*,Verdelho,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Hunter Valley,750mL,8.0 (2014),New South Wales,Verdelho,Dry,,,
27,12.5% (2015),Amelia Park,Screw Cap,Australia,2015*,Sauvignon Blanc Semillon,$9.88 in any six,$118.56 per case of 12,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,6.8 (2015),Western Australia,Sauvignon Blanc Semillon,Dry,,,
28,12.5% (2015),Amelia Park,Screw Cap,Australia,2015*,Sauvignon Blanc Semillon,$9.88 in any six,$118.56 per case of 12,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,6.8 (2015),Western Australia,Sauvignon Blanc Semillon,Dry,,,
29,13.5% (2012),Brookland Valley Estate,Screw Cap,Australia,2012*,Chardonnay,$27.88 in any six,$167.28 per case of 6,$27.88 per bottle,"Awards: Gold Medal - Decanter World Wine Awards 2016 and Royal Hobart Wine Show 2016 and Sydney Royal Wine Show 2016 and International Wine Show UK 2016 and Royal Melbourne Wine Show 2016 and International Wine & Spirit Competition 2016; Best Chardonnay Trophy, B",Margaret River,750mL,8 (2012),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
30,12.5% (2014),Brookland Valley Estate,Cask Closure,Australia,2014*,Verse 1 Semillon Sauvignon Blanc Magnum Magnum 1.5L,$9.40 in any six,$55.80 per case of 6,$9.90 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Margaret River,1.5L,15.0 (2014),Western Australia,Semillon Sauvignon Blanc,Dry,,,
31,13.0%,Vasse Felix,Screw Cap,Australia,2017,Heytesbury Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,
32,13.0%,Vasse Felix,Screw Cap,Australia,2017,Heytesbury Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,
33,13.0% (2011),The Yard,Screw Cap,Australia,2011*,Semillon Sauvignon Blanc,$17.90 in any six,$214.80 per case of 12,$17.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2011),Western Australia,Semillon Sauvignon Blanc,Dry,,,
34,13.50%,Devil's Lair,Screw Cap,Australia,2006,Chardonnay 2006,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,Ranked 18 of 46 Chardonnay from Margaret River,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,,
35,13.00%,Pike and Joyce,Screw Cap,Australia,2015*,Pinot Gris,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7,South Australia,Pinot Gris,Dry,,,
36,13.5% (2010),Carlei,,Australia,2010*,Green Vineyards Chardonnay,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0 (2010),Victoria,Chardonnay,Dry,,,
37,13.5% (2010),Carlei,,Australia,2010*,Green Vineyards Chardonnay,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0 (2010),Victoria,Chardonnay,Dry,,,
38,13.0% (2009),Galafrey,Screw Cap,Australia,2009*,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Mount Barker,750mL,8.0,Western Australia,Sauvignon Blanc,Dry,,,
39,13.00%,Jim Barry,Screw Cap,Australia,,The Florita Riesling 2007,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Ranked 11 of 39 Riesling from Clare Valley,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,,
40,12.00%,Penfolds,Screw Cap,Australia,,Thomas Hyland Chardonnay 2011,$24.99 per bottle,$142.50 per case of 6,$23.75 in any six,Ranked 10 of 59 Chardonnay from South Australia,Adelaide,750mL,7.1,South Australia,Chardonnay,Dry,,,
41,13.0% (2015),McWilliam's,Screw Cap,Australia,2015*,Cool Climate Chardonnay,$7.88 in any six,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,7.7 (2015),New South Wales,Chardonnay,Dry,,,
42,11.5% (2016),Yalumba,Screw Cap,Australia,2016*,Y Series Vermentino,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8 (2016),South Australia,Vermentino,Dry,,true,
43,13.5% (2016),Quealy,Screw Cap,Australia,2016*,Pobblebonk White Blend,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8 (2016),Victoria,White Blend,Dry,,,
44,12.60%,Bass Phillip,Cork,Australia,,Estate Chardonnay 2016,$68.40 in any six,$410.40 per case of 6,$71.99 per bottle,Ranked 142 of 158 Chardonnay from Victoria,Gippsland,750mL,7.8,Victoria,Chardonnay,Dry,,,
45,12.8% (2015),Seville Estate,Screw Cap,Australia,2015*,Reserve Chardonnay,$65.60 in any six,$787.20 per case of 12,$68.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.6 (2015),Victoria,Chardonnay,Dry,Ranked 3 of 71 Chardonnay from Yarra Valley,,
46,11.5% (2016),Yalumba,Screw Cap,Australia,2016*,Y Series Vermentino,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8 (2016),South Australia,Vermentino,Dry,,true,
47,11.0% (2011),Tyrrell's,Screw Cap,Australia,2011*,Belford Semillon,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,Awards: Gold - Dan Murphy's National Wine Show 2011,Hunter Valley,750mL,6.5 (2011),New South Wales,Semillon,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
48,12.50%,Xabregas,Screw Cap,Australia,2014*,X Figtree Riesling,$35.20 in any six,$211.20 per case of 6,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.4,Western Australia,Riesling,Dry,Ranked 7 of 35 Riesling from Great Southern,,
49,12.5% (2012),Mitchelton,Screw Cap,Australia,2012,Blackwood Park Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 29 Riesling from Victoria,,,Goulburn Valley,750mL,7.4 (2012),Victoria,Riesling,Dry,,,
50,12.5% (2016),Rolf Binder,Screw Cap,Australia,2016*,Riesling,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.4 (2016),South Australia,Riesling,Dry,,,
51,12.5% (2013),Levantine Hill,Cork,Australia,2013*,Samantha's Paddock Melange Traditionnel Cabernet Merlot,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2013),Victoria,Cabernet Merlot,Dry,,,
52,12.5% (2013),Shadowfax,Screw Cap,Australia,2013*,Midhill Vineyard Chardonnay,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Macedon Ranges,750mL,7.4 (2013),Victoria,Chardonnay,Dry,,,
53,12.5% (2012),Mitchelton,Screw Cap,Australia,2012,Blackwood Park Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 29 Riesling from Victoria,,,Goulburn Valley,750mL,7.4 (2012),Victoria,Riesling,Dry,,,
54,12.60%,Bass Phillip,Cork,Australia,,Estate Chardonnay 2016,$68.40 in any six,$410.40 per case of 6,$71.99 per bottle,Ranked 142 of 158 Chardonnay from Victoria,Gippsland,750mL,7.8,Victoria,Chardonnay,Dry,,,
55,12.5% (2014),Brokenwood,Screw Cap,Australia,2014*,Indigo Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 18 Chardonnay from Orange,,,Beechworth,750mL,7.4 (2014),Victoria,Chardonnay,Dry,,,
56,,,,,,Unknown,,,,,,,,,,,,,
57,13.6,Peninsula Panorama,Screw Cap,Australia,2015*,Chardonnay,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.1,Victoria,Chardonnay,Dry,,,
58,11.5,Richmond Grove,Screw Cap,Australia,2008,Limited Release Riesling 2008,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,Ranked 1 of 48 Riesling from Clare Valley,Clare Valley,750mL,6.8,South Australia,Riesling,Dry,,,
59,11.5% (2014),Arrowfield,Screw Cap,Australia,2014*,Sophie's Bridge Sauvignon Blanc,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,6.8 (2014),New South Wales,Sauvignon Blanc,Dry,,,
60,12.5% (2011),Domain Day,Screw Cap,Australia,2011*,Garganega,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,7.4 (2011),South Australia,Garganega,Dry,,,
61,12.5% (2015),Airlie Bank,Screw Cap,Australia,2015*,Chardonnay,$17.09 in any six,$205.08 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2015),Victoria,Chardonnay,Dry,,,
62,12.5% (2010),Heemskerk,Screw Cap,Australia,2010*,Riesling,$24.65 in any six,$147.90 per case of 6,$24.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coal River Valley,750mL,7.4 (2010),Tasmania,Riesling,Dry,,,
63,9.5% (2009),Miranda,Cork,Australia,2009*,Golden Botrytis 375mL,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Murray Darling,375mL,2.8 (2009),Victoria,Semillon,Sweet,,,
64,13.0% (2016),Seville Estate,,Australia,2016*,Chardonnay,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Chardonnay of Show),Yarra Valley,750mL,7.7 (2016),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
65,6.5% (2012),Kirrihill,Crown Seal,Australia,2012*,Moscato,$12.35 in any six,$73.29 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.8 (2012),,Moscato,Semi Sweet,,,
66,13.5%,Hardys,Screw Cap,Australia,2016*,Nottage Hill Chardonnay,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,South Australia,Chardonnay,Dry,,,
67,13.0% (2014),You,Screw Cap,Australia,2014*,Chardonnay,$7.50 in any six,$45.00 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2014),,Chardonnay,Dry,,,
68,13.5% (2010),Coldstream Hills,Screw Cap,Australia,2010*,Reserve Chardonnay,$52.25 in any six,$310.15 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0 (2010),Victoria,Chardonnay,Dry,,,
69,13.0% (2009),By Farr,Cork,Australia,2009*,Chardonnay,$68.39 in any six,$410.40 per case of 6,$71.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7 (2009),Victoria,Chardonnay,Dry,Ranked 25 of 79 Chardonnay from Port Phillip,,
70,13.0% (2013),Penfolds,Screw Cap,Australia,2013*,Thomas Hyland Chardonnay,$13.25 in any six,$78.40 per case of 6,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide,750mL,7.7 (2013),South Australia,Chardonnay,Dry,,,
71,10.5% (2011),Elderton,Screw Cap,Australia,2011*,Botrytis Semillon 375mL,$13.90 in any six,$166.80 per case of 12,$13.90 per bottle,Awards: Trophy - South Australian Wine Awards 2012. Gold - South Australian Wine Awards,Riverland,375mL,3.2 (2011),South Australia,Semillon,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
72,13.0% (2013),Kirrihill,Screw Cap,Australia,2013*,Barton Springs Vineyard Sauvignon Blanc,$10.90 in any six,$65.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2013),South Australia,Sauvignon Blanc,Dry,,,
73,10.8% (2011),The Willows,Screw Cap,Australia,2011*,Semillon,$12.30 in any six,$147.60 per case of 12,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,6.4 (2011),South Australia,Semillon,Dry,Ranked 48 of 60 Sémillon from Australia,,
74,12%,Yalumba,Cask Closure,Australia,Non Vintage*,Colombard Chardonnay Cask 2L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,2L,19.0,South Australia,Colombard Chardonnay,Dry,,true,
75,12.5% (2011),Bay Estates,Screw Cap,Australia,2011*,Pinot Grigio,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Mornington Peninsula,750mL,7.4 (2011),Victoria,Pinot Grigio,Dry,,,Light Bodied
76,6.00%,Banrock Station,Screw Cap,Australia,Non Vintage,Moscato 275mL,$69.12 per case of 24,$2.88 per bottle (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,275mL,3.6,South Australia,Moscato,Dry,,,
77,12%,Bellarine Estate,Cork,Australia,,Pierre's Cuvee Sparkling,$120.00 per bottle,$720.00 per case of 6,,,Bellarine,750mL,8.6,Victoria,Sparkling Rise,Dry,,true,Medium Bodied
78,11%,Kirrihill,Screw Cap,Australia,2018,Clare Valley Riesling 2018,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,,Clare Valley,750mL,6.5,South Australia,Riesling,,,,
79,11.1%,Eden Hall,Screw Cap,Australia,,Reserve Riesling 2018,$35.00 per bottle,$189.00 per case of 6,Awards: 93 points Wine Show Case Magazine (February 2019),,Eden Valley,750mL,6.6,South Australia,Riesling,Dry,,true,Light Bodied
80,13%,Monterra,Screw Cap,Australia,,Adelaide Hills Chardonnay,$150.00 per pack of 6,$150.00 ,,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,Medium Bodied
81,12.5,Some Young Punks,Screw Cap,Australia,,Quickie Sauvignon Blanc 2017,$21.99 per bottle,$131.94 per case of 6,,,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,,,,
