,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Vegan Friendly,Price Option 4,Wine Body
26,Lake George Botrytis Pinot Gris 375mL,10 % (2017),Lerida Estate,Screw Cap,Australia,2017*,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"Awards: Gold - Canberra Regional Wine Show 2011
Bronze - Cowra Wine Show 2018",Canberra District,375mL,3.0 (2017),Australian Capital Territory,Pinot Gris,Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
27,Isolation Ridge Chardonnay,12.5% (2011),Frankland Estate,Screw Cap,Australia,2011*,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.4 (2011),Western Australia,Chardonnay,Dry,,Ranked 30 of 95 Chardonnay from South West Australia,
28,Chardonnay 2016,13.5,IronHouse Vineyard,Screw Cap,Australia,,$28.00 per bottle,$300.00 per case of 12,,,East Coast Tasmania,750mL,8,Tasmania,Chardonnay,,,,
29,Chardonnay,13.2% (2016),Lightfoot & Sons,Screw Cap,Australia,2016*,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,7.8 (2016),Victoria,Chardonnay,Dry,,Ranked 122 of 158 Chardonnay from Victoria,
30,Chardonnay,13.0% (2013),Pauletts,Screw Cap,Australia,2013*,$13.29 in any six,$159.48 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.7 (2013),South Australia,Chardonnay,Dry,,,
31,Verse 1 Chardonnay,13.5%,Brookland Valley Estate,Screw Cap,Australia,2017*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,Ranked 56 of 61 Chardonnay from Margaret River,
32,Estate Riesling,11.5%,Patrick of Coonawarra,Screw Cap,Australia,2018*,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"Awards: 4 Gold - Royal Queensland Wine Show 2013, Cowra Wine Show 2013, Boutique Wine Awards 2013, Limestone Coast Wine Show 2012. Throphy - Boutique Wine Awards 2013",Wrattonbully,750mL,6.8,South Australia,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
33,Sauvignon Blanc,13.2% (2015),Bream Creek,Screw Cap,Australia,2015*,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.8 (2015),Tasmania,Sauvignon Blanc,Dry,,,
34,Semillon Sauvignon Blanc 2018,12.9,Clockwork Range by Oakover Wines,Screw Cap,Australia,,$25.00 per bottle,$264.00 per case of 12,,,Western Australia,750mL,7.7,Western Australia,Semillon Sauvignon Blanc,,,,
35,Resolution Riesling,12.5%,Devil's Corner,,Australia,2018,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,,Riesling,,,,
36,The Nectar 375mL,10.5%,Hollick,Screw Cap,Australia,2016,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,375mL,3.1,South Australia,Riesling,Sweet,,,
37,Reserve Chardonnay,13% (2015),Two Rivers,Screw Cap,Australia,2015*,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.7 (2015),New South Wales,Chardonnay,Dry,,,
38,Frankland River Chardonnay,13.5% (2011),Alkoomi,Screw Cap,Australia,2011*,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,8.0 (2011),Western Australia,Chardonnay,Dry,,Ranked 47 of 95 Chardonnay from South West Australia,
39,Riesling,11.5,Rocco,Screw Cap,Australia,2016*,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8,,Riesling,Dry,,,
40,Unknown,,,,,,,,,,,,,,,,,,
41,Perfect Day Unwooded Chardonnay,12.5%,Sirromet,Screw Cap,Australia,2017,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",South Eastern Australia,750mL,7.4,Queensland,Chardonnay,Dry,,,
42,Chardonnay 2015,13.4,Cherry Tree Hill,Screw Cap,Australia,,$19.90 per bottle,$109.00 per case of 6,Ranked 47 of 69 Chardonnay from New South Wales,,,750mL,7.9,,Chardonnay,,,,
43,Ballerina Canopy Chardonnay,13.5%,Gapsted,Screw Cap,Australia,2017,$19.00 in any six,$131.40 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,Victoria,Chardonnay,Dry,,Ranked 58 of 99 Chardonnay from Victoria,
44,Inigo Riesling,12%,Sevenhill,Screw Cap,Australia,2017*,$18.99 in any six,$112.75 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,Ranked 67 of 70 Riesling from Clare Valley,
45,Traditional Chardonnay,13.5%,Franklin Tate Estates,,Australia,2017*,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,Awards: Gold medal - Chardonnay Du Monde International Wine Competition 2016,Margaret River,750mL,8.0,Western Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
46,Sauvignon Blanc 2016,13.2,Cherry Tree Hill,Screw Cap,Australia,,$17.90 per bottle,$99.00 per case of 6,Ranked 13 of 19 Sauvignon Blanc from New South Wales,,,750mL,7.8,,Sauvignon Blanc,,,,
47,Woodside Sauvignon Blanc,12%,Teusner,Screw Cap,Australia,2017*,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,,
48,Semillon Sauvignon Blanc,13.0% (2016),Junipers Crossing,Screw Cap,Australia,2016*,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2016),Western Australia,Semillon Sauvignon Blanc,Dry,,Ranked 11 of 20 Sémillon from Margaret River,
49,Vineyard Selection Verdelho,13.7%,Sirromet,Screw Cap,Australia,2017,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Granite Belt,750mL,8.1,Queensland,Verdelho,Dry,,,
50,Chardonnay,12.5%,Mornington Estate,Screw Cap,Australia,2016*,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4,Victoria,Chardonnay,Dry,,Ranked 38 of 47 Chardonnay from Mornington Peninsula,
51,Chimney Brush Chardonnay,13.5%,Amberley,Screw Cap,Australia,2015*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,Western Australia,Chardonnay,Dry,,,
52,Novello Semillon Sauvignon Blanc,11.5% (2016),Chain Of Ponds,Screw Cap,Australia,2016*,$13.30 in any six,$148.20 per case of 12,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8 (2016),South Australia,Semillon Sauvignon Blanc,Dry,,,
53,Chardonnay,12.5% (2016),Wow What A,Screw Cap,Australia,2016*,$6.00 in any six,$36.00 per case of X,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4 (2016),,,,,,
54,Unknown,,,,,,,,,,,,,,,,,,
55,"Vermentino, Fleurieu 750mL",13.0%,Peacock's Tail,Screw Cap,Australia,,$22.00 per bottle,$264.00 per case of 12,,,Fleurieu,750mL,7.7,South Australia,Vermentino,Dry,,,Light Bodied
56,Lisa McGuigan Platinum Pinot Gris 2018,13,Lisa McGuigan,Screw Cap,Australia,,$78.46 per pack of 2,$470.76 per case of 6,,,,750mL,7.7,,White Wine,,,,
57,Silver Wild Thing Semillion 2017,11,Lisa McGuigan,Screw Cap,Australia,,$57.78 per pack of 2,$346.68 per case of 12,,,,750mL,6.5,,White Wine,,,,
58,Emanai 2015,13.5,Toolangi,Screw Cap,Australia,Screw Cap,$22.99 per bottle,$226.32 per case of 12,Dry White,,Yarra Valley,750mL,8,FRE,Chardonnay Viognier,Dry,,,
59,NV Sparkling,12.5%,Airlie Bank,Crown Seal,Australia,,$22.49 per bottle,$134.94 per case of 6,,,Yarra Valley,750mL,7.4,Victoria,Pinot Noir Chardonnay,Dry,,,
60,Riesling 2011,12.5,Towerhill,Screw Cap,Australia,2011,$28.00 per bottle,$168.00 per case of 6,,,Western Australia,750mL,7.5,Western Australia,Riesling,Dry,,,
61,Dry Riesling 2012,13,Towerhill,Screw Cap,Australia,2012,$29.00 per bottle,$174.00 per case of 6,Ranked 28 of 36 Riesling from Great Southern,,Western Australia,750mL,7.7,Western Australia,Riesling,Riesling,,,
62,Mornington Peninsula Chardonnay,13.5%,Onannon,Screw Cap,Australia,2017,$38.99 per bottle,$233.94 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,8,Victoria,Chardonnay,,true,,Medium Bodied
63,Corviser Pinot Noir 2017,14.2%,Snobs Creek Estate,Screw Cap,Australia,Screw Cap,$24.99 per bottle,$299.88 per case of 12,Dry Red,,Upper Goulburn,750mL,8.4,Victoria,Pinot Noir,Dry,,,Medium Bodied
64,Kiss Me Kate Chardonnay 2016,12.5,Shingleback,Screw Cap,Australia,2015,$25.00 per bottle,$150.00 per case of 6,"Awards: Bronze: 2015 International Wine & Spirit Competition, Hong Kong. Bronze:  2016 International Wine & Spirit Competition, UK. Bronze:  2016 Royal Queensland Wine Show, class 17",Dry White,Adelaide Hills,750mL,7.4,FRE,Chardonnay,Dry,,Ranked 14 of 18 Chardonnay from Fleurieu,
65,Pinot Gris 2017,13%,Pepper Tree,Screw Cap,Australia,2017,$17.99 ,$215.88 per case of 12,,,Wrattonbully,750mL,7.69,South Australia,Pinot Gris,,,,
66,Black Label Off-Dry Riesling 2018,12%,Ferngrove,Screw Cap,Australia,2018,$20.00 per bottle,$120.00 per case of 6,,,Great Southern,750mL,7.1,Western Australia,Riesling,Semi Dry,,,
67,Black Label Sauvignon Blanc 2018,12.5%,Ferngrove,Screw Cap,Australia,,$20.00 per bottle,$120.00 per case of 6,Awards: Gold - 2018 Royal Melbourne Wine Show for Best Sauvignon Blanc or Blend of Semillon & Sauvignon Blanc Category,,Frankland River,750mL,7.4,Western Australia,Sauvignon Blanc,Dry,,,Light Bodied
68,Chardonnay 2016,13\t,"JT, The Patriarch",Screw Cap,Australia,,$26.99 per bottle,$155.94 per case of 6,,,"Adelaide Hills, SA",750mL,7.7,,Chardonnay,,,,
69,Chardonnay 2015,13,Clockwork Range by Oakover Wines,Screw Cap,Australia,,$25.00 per bottle,$264.00 per case of 12,,,Western Australia,750mL,7.7,Western Australia,Chardonnay,,,,
70,2018 JohannesBurg Semillon,12.1%,Goldman Wines,Screw Cap,Australia,,$26.99 per bottle,$120.00 per case of 6,"Awards: 4 Stars Winestate Magazine
Best of Style (Semillon) Tastings Winestate Magazine",,Hunter Valley,750mL,7.1,New South Wales,Semillon,Dry,,,Light Bodied
71,Riesling 2015,12%,Artiste,Screw Cap,Australia,,$24.00 per bottle,$110.00 per case of 6,"Awards: 2017 Canberra International Riesling Challenge – Gold Medal
2016 International Wine & Spirit Competition – Silver Medal
2017 Melbourne International Wine Awards – Silver Medal
2016 Royal Adelaide Wine Show – Bronze Medal
2016 Canberra International Riesling Challenge – Bronze Medal
2017 Sydney Royal Wine Show – Bronze Medal
2016 Winestate Magazine – 4.5 Stars",,Eden Valley,750mL,7.1,South Australia,Riesling,Dry,,,Medium Bodied
72,REBELLIOUS Chenin Blanc 2017,13.4%,Riverbank Estate,Screw Cap,Australia,,$25.00 per bottle,$300.00 per case of 12,"Awards: Wine Show of WA 2017
Aust Small Winemakers Show 2017",,Swan Valley,750ml,7.9,Western Australia,Chenin Blanc,Dry,,,Light Bodied
73,Sauvignon Blanc 2016,12.5%,Unavale Vineyard,Screw Cap,Australia,,$19.95 per bottle,$239.00 per case of 12,,,,750mL,7.4,Tasmania,Sauvignon Blanc,Dry,,,Medium Bodied
74,Chardonnay 2017,13.9%,Merindoc,Screw Cap,Australia,,$27.00 per bottle,$162.00 per case of 6,,,Heathcote,750mL,8.2,,Chardonnay,Dry,,,Medium Bodied
75,Willoughby Bridge Albarino 2018,12.9%,Merindoc,,Australia,,$27.00 per bottle,$162.00 per case of 6,Awards: Awarded a Bronze medal at the Victorian Wine Show Novenber 2018,,Heathcote,750mL,7.6,,Albarino,Dry,,,Medium Bodied
76,Piquepoul Blanc NSW,12.5%,Borrowed Cuttings,Screw Cap,Australia,,$29.99 per bottle,$179.94 per case of 6,,,Cowra,750mL,7.4,New South Wales,,Dry,,,Light Bodied
77,Tobacco Road Chardonnay 2017,13.5%,Gapsted Wines,Screw Cap,Australia,,$14.99 per bottle,$150.00 per case of 12,,,King Valley,750mL,8,Victoria,Chardonnay,,,,
78,Limited Release Petit Manseng,12.9,Gapsted Wines,Screw Cap,Australia,,$23.99 per bottle,$125.00 per case of 6,"Awards: Silver Medal - Rutherglen Wine Show, 2017
Silver Medal - North East Wine Challenge, 2017",,Alpine Valleys,750mL,7.6,Victoria,Petit Manseng,White Varietals,,,Light Bodied
79,Unknown,,,,,,,,,,,,,,,,,,
80,Tobacco Road Sauvignon Blanc,13,Gapsted Wines,Screw Cap,Australia,,$14.99 per bottle,$150.00 per case of 12,,,King Valley,750mL,7.7,Victoria,Sauvignon Blanc,Dry,,,
81,Woodridge Vineyard Pinot Grigio 2018,12.5%,Nova Vita,Screw Cap,Australia,,$16.99 per bottle,$203.88 per case of 12,,,Adelaide Hills,750mL,7.4,South Australia,Pinot Grigio,Dry,true,,Medium Bodied
82,Tardif Late Harvest Sauvignon Blanc 2010,12.5%,Alluviale,Screw Cap,Australia,Screw Cap,$29.95 per bottle,$143.76 per case of 12,Sweet White,,Hawkes Bay,750mL,7.3,WNE,Sweet White,Dry,,,
83,Single Vineyard Block 9 Scheurebe,12.0,Wills Domain,Screw Cap,Australia,Screw Cap,$29.00 per bottle,$174.00 per case of 6,Dry White,,Margaret River,750mL,7.1,FRE,Scheurebe,Dry,,,
84,The Postmistress Blanc de Blanc NV,11%,Henry's Drive,Crown Seal,Australia,,$20.00 per bottle,$120.00 per case of 6,,,Padthaway,750mL,6.5,South Australia,Chardonnay,Dry,,,
85,Single Vineyard Sauvignon Blanc 2017 750mL,11.2%,St Johns Brook,Screw Cap,Australia,,$24.99 per bottle,$142.80 per case of 6,,,Margaret River,750mL,6.5,Western Australia,Sauvignon Blanc,,,,
86,"""H"" Chardonnay",13%,Henry's Drive,Screw Cap,Australia,,$25.00 per bottle,$150.00 per case of 6,,,Padthaway,750mL,7.7,South Australia,Chardonnay,Dry,,,
87,Kabinett,8.5%,Schloss Lieser,,Australia,,$54.95 per bottle,$659.40 per case of 6,,,,750ml,5,,Riesling,,,,
88,Margaret River Semillon Sauvignon Blanc 2016,12.5,Chapman Grove,Screw Cap,Australia,,$21.99 per bottle,$210.00 per case of 12,,,,750mL,7.4,,Semillon Sauvignon B,,,,
89,Green Room Riesling 2018,11.51,Stage Door,Screw Cap,Australia,,$22.99 per bottle,$137.94 per case of 6,,,Eden Valley,750mL,7.4,,,,,,
90,Chardonnay,13.1,Gruyere Hill,Screw Cap,Australia,2017,$22.95 per bottle,$137.70 per case of 6,,,Yarra Valley,750ml,7.7,Victoria,Chardonnay,Dry,,,Medium Bodied
91,Single Vineyard Block 9 Scheurebe,12.0,Wills Domain,Screw Cap,Australia,Screw Cap,$29.00 per bottle,$174.00 per case of 6,Dry White,,Margaret River,750mL,7.1,FRE,Scheurebe,Dry,,,
92,Green Room Riesling 2018,11.51,Stage Door,Screw Cap,Australia,,$22.99 per bottle,$137.94 per case of 6,,,Eden Valley,750mL,7.4,,,,,,
93,Single Vineyard Sauvignon Blanc 2017 750mL,11.2%,St Johns Brook,Screw Cap,Australia,,$24.99 per bottle,$142.80 per case of 6,,,Margaret River,750mL,6.5,Western Australia,Sauvignon Blanc,,,,
94,Sauvignon Blanc,13.0% (2012),S.C. Pannell,Screw Cap,Australia,2012*,$25.65 in any six,$307.80 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2012),South Australia,Sauvignon Blanc,Dry,,Ranked 7 of 31 Sauvignon Blanc from Adelaide Hills,
95,Chardonnay,12.5%,Dromana Estate,Screw Cap,Australia,2013*,$32.29 in any six,$387.48 per case of 12,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4,Victoria,Chardonnay,Dry,,Ranked 5 of 35 Chardonnay from Mornington Peninsula,
96,Adelaide Hills Sauvignon Blanc,12.5%,Houdini,Screw Cap,Australia,2016*,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,Sauvignon  Blanc,Dry,,,
97,"""A&W"" Riesling",11.5%,Castle Rock,Screw Cap,Australia,2016*,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,6.8,Western Australia,Riesling,Dry,,Ranked 6 of 37 Riesling from Great Southern,
98,Triolet,13.0%,Mount Mary,Screw Cap,Australia,2015*,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Yarra Valley,750mL,7.7,Victoria,Semillon Sauvignon Blanc Muscadelle,Dry,,,
99,Trocken,12.0%,AJ Adam,,Australia,,$39.95 per bottle,$479.40 per case of 12,,,,750mL,7.1,,Riesling,,,,
100,Hofberg Auslese,7.5%,AJ Adam,,Australia,,$89.95 per bottle,"$1,079.40 per case of 12",,,,750ml,4.4,,Riesling,,,,
101,Unknown,,,,,,,,,,,,,,,,,,
102,Arneis,13.4% (2016),Dal Zotto,Screw Cap,Australia,2016*,$21.85 in any six,$262.20 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,750mL,7.9 (2016),Victoria,Arneis,Dry,,,
